Usuario|A->A_Week1|A->D_Week1|A->E_Week1|A->F_Week1|A->V_Week1|D->A_Week1|D->D_Week1|D->E_Week1|D->F_Week1|D->V_Week1|E->A_Week1|E->D_Week1|E->E_Week1|E->F_Week1|E->V_Week1|F->A_Week1|F->D_Week1|F->E_Week1|F->F_Week1|F->V_Week1|V->A_Week1|V->D_Week1|V->E_Week1|V->F_Week1|V->V_Week1
73390|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0
6479592|0.2894736842105263|0.0|0.0|0.0|0.0|0.0|0.25|0.013157894736842105|0.0|0.02631578947368421|0.0|0.0|0.06578947368421052|0.0|0.13157894736842105|0.0|0.0|0.0|0.0|0.0|0.013157894736842105|0.02631578947368421|0.11842105263157894|0.0|0.06578947368421052
6133380|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.11764705882352941|0.0|0.0|0.17647058823529413|0.0|0.17647058823529413|0.0|0.0|0.0|0.0|0.0|0.0|0.11764705882352941|0.17647058823529413|0.0|0.23529411764705882
5056396|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6541759|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6539688|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2734024|0.06976744186046512|0.0|0.0|0.023255813953488372|0.0|0.0|0.046511627906976744|0.023255813953488372|0.0|0.046511627906976744|0.0|0.023255813953488372|0.11627906976744186|0.0|0.20930232558139536|0.0|0.0|0.0|0.0|0.0|0.023255813953488372|0.046511627906976744|0.20930232558139536|0.0|0.16279069767441862
6130150|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6273657|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3181818181818182|0.0|0.2727272727272727|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3181818181818182|0.0|0.09090909090909091
6496544|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.08333333333333333|0.0|0.0|0.0|0.16666666666666666|0.4166666666666667
5653129|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.0|0.0|0.2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.6
3703677|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.037037037037037035|0.0|0.0|0.2962962962962963|0.0|0.1111111111111111|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.14814814814814814|0.0|0.07407407407407407
6586341|0.0|0.04|0.0|0.0|0.0|0.0|0.04|0.0|0.0|0.0|0.04|0.0|0.32|0.0|0.2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.24|0.0|0.12
6243085|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.0|0.2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.0|0.4
6022035|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1111111111111111|0.0|0.0|0.3333333333333333|0.0|0.1111111111111111|0.0|0.0|0.0|0.0|0.0|0.0|0.1111111111111111|0.1111111111111111|0.0|0.2222222222222222
6307374|0.0|0.0|0.0|0.0|0.0|0.0|0.325|0.0|0.0|0.0|0.0|0.025|0.25|0.0|0.15|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.175|0.0|0.075
6347569|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.3333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333
2844316|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5845584|0.0|0.0|0.0|0.0|0.0|0.0|0.09375|0.0|0.0|0.03125|0.0|0.03125|0.3125|0.0|0.1875|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.21875|0.0|0.125
6419470|0.0|0.0|0.0|0.0|0.0|0.0|0.5227272727272727|0.022727272727272728|0.045454545454545456|0.0|0.0|0.0|0.29545454545454547|0.0|0.022727272727272728|0.0|0.045454545454545456|0.0|0.022727272727272728|0.0|0.0|0.0|0.022727272727272728|0.0|0.0
3876373|0.2972972972972973|0.0|0.0|0.0|0.02702702702702703|0.0|0.0|0.0|0.0|0.02702702702702703|0.02702702702702703|0.0|0.1891891891891892|0.0|0.16216216216216217|0.0|0.0|0.0|0.0|0.0|0.02702702702702703|0.0|0.1891891891891892|0.0|0.05405405405405406
6354923|0.0|0.0|0.0|0.0|0.0|0.0|0.29411764705882354|0.0|0.0|0.058823529411764705|0.0|0.0|0.29411764705882354|0.0|0.11764705882352941|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.11764705882352941|0.0|0.11764705882352941
6313827|0.0|0.0|0.0|0.0|0.0|0.0|0.15384615384615385|0.0|0.0|0.038461538461538464|0.0|0.0|0.19230769230769232|0.0|0.15384615384615385|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.19230769230769232|0.0|0.2692307692307692
6192953|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0625|0.0|0.0|0.25|0.0|0.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|0.1875
6557174|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3684210526315789|0.0|0.10526315789473684|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.15789473684210525|0.0|0.3684210526315789
39438|0.3684210526315789|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02631578947368421|0.0|0.21052631578947367|0.0|0.15789473684210525|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.18421052631578946|0.0|0.05263157894736842
6469710|0.0|0.0|0.0|0.0|0.0|0.0|0.23076923076923078|0.0|0.0|0.07692307692307693|0.0|0.0|0.23076923076923078|0.0|0.07692307692307693|0.0|0.0|0.0|0.0|0.0|0.0|0.07692307692307693|0.15384615384615385|0.0|0.15384615384615385
53908|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6563140|0.2619047619047619|0.0|0.0|0.0|0.047619047619047616|0.0|0.0|0.0|0.0|0.0|0.023809523809523808|0.0|0.19047619047619047|0.0|0.14285714285714285|0.0|0.0|0.0|0.0|0.0|0.047619047619047616|0.0|0.16666666666666666|0.0|0.11904761904761904
5423916|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6415666|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6554784|0.18309859154929578|0.028169014084507043|0.0|0.0|0.014084507042253521|0.028169014084507043|0.28169014084507044|0.014084507042253521|0.0|0.11267605633802817|0.0|0.09859154929577464|0.09859154929577464|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.014084507042253521|0.028169014084507043|0.08450704225352113|0.0|0.014084507042253521
5669351|0.0|0.0|0.0|0.0|0.0|0.0|0.23076923076923078|0.0|0.0|0.038461538461538464|0.0|0.038461538461538464|0.11538461538461539|0.0|0.19230769230769232|0.0|0.0|0.0|0.0|0.0|0.0|0.038461538461538464|0.23076923076923078|0.0|0.11538461538461539
6402203|0.0|0.0|0.0|0.0|0.0|0.0|0.15151515151515152|0.0|0.0|0.09090909090909091|0.0|0.030303030303030304|0.21212121212121213|0.0|0.21212121212121213|0.0|0.0|0.0|0.0|0.0|0.0|0.030303030303030304|0.24242424242424243|0.0|0.030303030303030304
1313379|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.6153846153846154|0.0|0.07692307692307693|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.15384615384615385|0.0|0.15384615384615385
4009574|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03225806451612903|0.0|0.0|0.12903225806451613|0.0|0.25806451612903225|0.0|0.0|0.0|0.0|0.0|0.0|0.03225806451612903|0.25806451612903225|0.0|0.2903225806451613
6369621|0.24528301886792453|0.0|0.0|0.018867924528301886|0.018867924528301886|0.0|0.03773584905660377|0.0|0.0|0.018867924528301886|0.018867924528301886|0.0|0.1509433962264151|0.0|0.11320754716981132|0.018867924528301886|0.0|0.018867924528301886|0.09433962264150944|0.018867924528301886|0.018867924528301886|0.0|0.11320754716981132|0.03773584905660377|0.05660377358490566
6408335|0.0|0.0|0.0|0.0|0.0|0.0|0.3448275862068966|0.034482758620689655|0.0|0.034482758620689655|0.0|0.034482758620689655|0.41379310344827586|0.0|0.034482758620689655|0.0|0.0|0.0|0.0|0.0|0.0|0.06896551724137931|0.034482758620689655|0.0|0.0
3702276|0.2857142857142857|0.0|0.0|0.0|0.0|0.0|0.24489795918367346|0.0|0.0|0.02040816326530612|0.02040816326530612|0.0|0.16326530612244897|0.0|0.10204081632653061|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.12244897959183673|0.0|0.04081632653061224
80608|0.0|0.0|0.0|0.0|0.0|0.0|0.2222222222222222|0.0|0.0|0.1111111111111111|0.0|0.0|0.1111111111111111|0.0|0.1111111111111111|0.0|0.0|0.0|0.0|0.0|0.0|0.1111111111111111|0.1111111111111111|0.0|0.2222222222222222
6429311|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1935483870967742|0.0|0.1935483870967742|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1935483870967742|0.0|0.41935483870967744
6168764|0.3387096774193548|0.0|0.0|0.0|0.016129032258064516|0.0|0.20967741935483872|0.0|0.0|0.016129032258064516|0.016129032258064516|0.0|0.1774193548387097|0.0|0.08064516129032258|0.0|0.0|0.0|0.0|0.0|0.016129032258064516|0.016129032258064516|0.0967741935483871|0.0|0.016129032258064516
6458001|0.0|0.0|0.0|0.0|0.0|0.0|0.47368421052631576|0.0|0.0|0.05263157894736842|0.0|0.0|0.15789473684210525|0.0|0.10526315789473684|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10526315789473684|0.0|0.10526315789473684
5538471|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5517399|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04|0.0|0.0|0.24|0.0|0.24|0.0|0.0|0.0|0.0|0.0|0.0|0.04|0.24|0.0|0.2
6407973|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3381861|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1041154|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.2916666666666667|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2916666666666667|0.0|0.08333333333333333
5730953|0.3548387096774194|0.0|0.016129032258064516|0.0|0.0|0.0|0.20967741935483872|0.0|0.0|0.016129032258064516|0.016129032258064516|0.016129032258064516|0.16129032258064516|0.0|0.06451612903225806|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.08064516129032258|0.0|0.06451612903225806
6546148|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.0|0.0|0.2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.0|0.0|0.4
6534985|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.08695652173913043|0.0|0.043478260869565216|0.2608695652173913|0.0|0.21739130434782608|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2608695652173913|0.0|0.13043478260869565
6564618|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.4583333333333333|0.0|0.08333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.125|0.0|0.3333333333333333
4685205|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.16666666666666666|0.0|0.0|0.0|0.16666666666666666|0.0|0.16666666666666666|0.0|0.0|0.0|0.0|0.16666666666666666|0.0|0.16666666666666666|0.16666666666666666|0.0|0.0
281427|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3157894736842105|0.0|0.2631578947368421|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3157894736842105|0.0|0.10526315789473684
3720896|0.171875|0.015625|0.0|0.03125|0.0|0.0|0.1875|0.0|0.015625|0.015625|0.015625|0.0|0.140625|0.015625|0.078125|0.015625|0.0|0.015625|0.125|0.015625|0.015625|0.0|0.09375|0.0|0.03125
6313093|0.2391304347826087|0.0|0.0|0.0|0.021739130434782608|0.0|0.043478260869565216|0.0|0.0|0.021739130434782608|0.0|0.0|0.15217391304347827|0.0|0.15217391304347827|0.0|0.0|0.0|0.0|0.0|0.043478260869565216|0.021739130434782608|0.15217391304347827|0.0|0.15217391304347827
6164662|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0
6329160|0.024390243902439025|0.024390243902439025|0.0|0.0|0.0|0.0|0.04878048780487805|0.04878048780487805|0.0|0.12195121951219512|0.024390243902439025|0.04878048780487805|0.12195121951219512|0.0|0.14634146341463414|0.0|0.0|0.0|0.0|0.0|0.0|0.12195121951219512|0.17073170731707318|0.0|0.0975609756097561
6480719|0.0|0.0|0.0|0.0|0.0|0.0|0.6|0.0|0.0|0.2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.0|0.0|0.0
6498144|0.25|0.019230769230769232|0.0|0.0|0.0|0.0|0.23076923076923078|0.0|0.0|0.019230769230769232|0.019230769230769232|0.0|0.1346153846153846|0.0|0.11538461538461539|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1346153846153846|0.0|0.07692307692307693
6329907|0.0|0.0|0.0|0.0|0.0|0.0|0.0625|0.0|0.0|0.03125|0.0|0.03125|0.25|0.0|0.15625|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1875|0.0|0.28125
6476380|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0
5052446|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.0|0.2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.0|0.4
6403967|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.0|0.0|0.2|0.0|0.0|0.06666666666666667|0.0|0.06666666666666667|0.0|0.0|0.0|0.0|0.0|0.0|0.13333333333333333|0.06666666666666667|0.0|0.26666666666666666
6449646|0.0|0.0|0.0|0.0|0.0|0.0|0.12121212121212122|0.0|0.0|0.030303030303030304|0.0|0.0|0.12121212121212122|0.0|0.24242424242424243|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.24242424242424243|0.0|0.24242424242424243
504370|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.5
6554349|0.4|0.01818181818181818|0.0|0.0|0.0|0.0|0.10909090909090909|0.0|0.0|0.01818181818181818|0.01818181818181818|0.0|0.16363636363636364|0.0|0.10909090909090909|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.12727272727272726|0.0|0.03636363636363636
5899894|0.0|0.0|0.0|0.0|0.0|0.0|0.3125|0.0|0.0|0.0625|0.0|0.0|0.1875|0.0|0.125|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1875|0.0|0.125
6320410|0.0|0.0|0.0|0.0|0.0|0.0|0.8181818181818182|0.0|0.0|0.09090909090909091|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.09090909090909091|0.0|0.0|0.0
6525891|0.0|0.0|0.0|0.0|0.0|0.0|0.4375|0.0|0.0|0.0625|0.0|0.0|0.0625|0.0|0.0625|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0625|0.0|0.3125
6299705|0.0|0.0|0.0|0.0|0.0|0.0|0.16|0.04|0.0|0.0|0.0|0.0|0.28|0.0|0.2|0.0|0.0|0.0|0.0|0.0|0.0|0.04|0.16|0.0|0.12
6111654|0.3333333333333333|0.023809523809523808|0.0|0.0|0.0|0.0|0.16666666666666666|0.0|0.0|0.0|0.023809523809523808|0.0|0.19047619047619047|0.0|0.11904761904761904|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.14285714285714285|0.0|0.0
6301362|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1111111111111111|0.0|0.0|0.8888888888888888
2352335|0.3|0.02|0.0|0.0|0.0|0.0|0.04|0.0|0.0|0.0|0.0|0.0|0.14|0.0|0.14|0.0|0.0|0.0|0.0|0.0|0.02|0.0|0.14|0.0|0.2
6602294|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3157894736842105|0.0|0.2631578947368421|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3157894736842105|0.0|0.10526315789473684
6496561|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.9|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1|0.0|0.0
6186691|0.34146341463414637|0.0|0.04878048780487805|0.0|0.0|0.024390243902439025|0.14634146341463414|0.0|0.0|0.04878048780487805|0.0|0.024390243902439025|0.2926829268292683|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.024390243902439025|0.024390243902439025|0.0|0.0|0.024390243902439025
2214056|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0
6130802|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6444451|0.0|0.0|0.0|0.0|0.0|0.0|0.6666666666666666|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.0
6431853|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.32|0.0|0.24|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.24|0.0|0.2
4816854|0.3023255813953488|0.023255813953488372|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.023255813953488372|0.023255813953488372|0.0|0.11627906976744186|0.0|0.18604651162790697|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.20930232558139536|0.0|0.11627906976744186
5679145|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6569067|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.0
