,0
0,"[[2, 1862], [3, 2222], [21, 1368], [22, 1548], [23, 288], [50, 369], [73, 1300], [76, 1856], [78, 2806], [80, 1839], [81, 1424], [85, 2239], [87, 1426], [87, 2032], [87, 2100], [110, 514], [110, 830], [110, 2972], [113, 856], [113, 1000], [113, 1588], [113, 1754], [113, 3003], [137, 2306], [141, 2517], [143, 1604], [155, 1961], [175, 1417], [175, 1663], [175, 2170], [175, 3025], [183, 2185], [184, 646], [184, 1157], [189, 1733], [240, 1016], [251, 1753], [261, 1208], [266, 1246], [266, 1430], [266, 2898], [270, 1019], [270, 1809], [280, 1513], [280, 2831], [284, 1565], [301, 509], [308, 2513], [332, 769], [337, 2134], [347, 830], [378, 2134], [398, 2326], [402, 1961], [412, 2298], [514, 2972], [540, 743], [540, 1774], [556, 1874], [591, 1208], [598, 602], [598, 688], [609, 1581], [611, 629], [615, 1552], [629, 836], [629, 2989], [640, 904], [640, 1262], [640, 1661], [649, 1873], [650, 1860], [653, 765], [653, 1988], [660, 1415], [668, 1569], [682, 1681], [688, 1992], [703, 1167], [707, 2537], [732, 937], [735, 2648], [755, 1033], [755, 1777], [765, 1988], [770, 2660], [822, 1703], [830, 1057], [830, 2972], [836, 2989], [856, 1000], [856, 3003], [865, 2306], [868, 1553], [893, 1095], [893, 1757], [893, 1982], [893, 2260], [893, 2479], [902, 1032], [904, 1661], [912, 2963], [913, 1925], [913, 2214], [913, 2237], [913, 2856], [962, 2802], [976, 2856], [985, 2619], [986, 1394], [986, 1892], [986, 2587], [995, 1553], [1019, 1809], [1026, 2930], [1028, 1831], [1030, 1320], [1033, 1903], [1044, 2181], [1061, 1325], [1061, 1438], [1061, 1708], [1066, 1781], [1077, 2816], [1097, 1263], [1099, 2832], [1105, 1495], [1109, 1615], [1131, 2714], [1141, 1564], [1219, 2322], [1219, 2750], [1246, 1430], [1246, 2135], [1246, 2898], [1275, 1460], [1286, 1698], [1299, 1876], [1300, 1896], [1325, 1708], [1344, 2047], [1354, 2483], [1384, 1875], [1387, 1414], [1403, 1571], [1410, 2607], [1415, 1470], [1417, 1663], [1430, 2898], [1441, 1562], [1451, 2713], [1460, 2268], [1513, 2831], [1530, 1719], [1535, 1651], [1540, 2129], [1548, 1807], [1573, 1696], [1573, 2849], [1579, 2548], [1588, 3003], [1616, 2104], [1617, 2932], [1626, 2338], [1639, 1868], [1639, 2370], [1644, 2363], [1661, 2989], [1663, 2170], [1663, 3025], [1686, 2954], [1700, 1791], [1700, 2082], [1711, 2331], [1741, 2386], [1750, 1925], [1750, 2214], [1750, 2237], [1757, 2260], [1789, 2995], [1791, 2082], [1807, 2854], [1809, 2331], [1829, 2674], [1846, 2229], [1860, 2453], [1868, 2370], [1911, 1924], [1917, 2374], [1917, 2384], [1917, 2934], [1922, 2049], [1925, 2214], [1925, 2237], [1925, 2856], [1932, 2118], [1965, 1989], [1979, 2599], [1989, 2715], [1999, 2749], [2019, 2728], [2079, 2802], [2099, 2811], [2141, 2264], [2163, 2217], [2170, 3025], [2185, 2963], [2190, 2270], [2214, 2237], [2214, 2856], [2218, 3019], [2231, 2896], [2237, 2856], [2260, 2560], [2270, 2709], [2284, 2732], [2322, 2750], [2335, 2494], [2374, 2384], [2426, 2465], [2517, 2641], [2721, 2807], [2799, 2857], [2857, 2976]]"
1,"[[137, 2306], [171, 1155], [383, 1640], [395, 2673], [591, 1208], [611, 2989], [629, 836], [629, 2989], [912, 2963], [1957, 2180]]"
2,"[[347, 1057], [598, 602], [640, 1262], [703, 1167], [830, 1057], [912, 2963], [913, 2524], [1141, 1564], [1620, 2734], [1789, 2995], [1846, 2229]]"
3,"[[563, 2388], [611, 629], [912, 2963]]"
