,0
0,"[[2, 1862], [3, 1711], [3, 2222], [3, 2331], [9, 48], [9, 266], [9, 1246], [9, 2190], [9, 2270], [9, 2387], [9, 2854], [9, 2898], [10, 108], [20, 1417], [20, 1911], [20, 1924], [21, 1304], [21, 1368], [22, 1548], [22, 1807], [23, 288], [41, 158], [41, 1109], [41, 1175], [41, 1615], [42, 80], [42, 640], [50, 369], [64, 1604], [64, 2361], [66, 1011], [73, 1300], [74, 2232], [76, 1856], [78, 2458], [78, 2806], [78, 3041], [79, 2141], [79, 2755], [80, 1813], [80, 1839], [81, 1424], [82, 2500], [85, 2239], [87, 1426], [87, 1829], [87, 2032], [87, 2100], [90, 337], [90, 2134], [90, 2526], [91, 1056], [100, 119], [100, 2088], [104, 612], [104, 1532], [104, 2923], [108, 893], [108, 1757], [108, 2260], [110, 514], [110, 830], [110, 1203], [110, 2972], [113, 856], [113, 1000], [113, 1588], [113, 1754], [113, 3003], [119, 2690], [130, 346], [132, 2332], [132, 2660], [134, 1478], [137, 2306], [140, 900], [140, 2683], [141, 2517], [143, 1604], [145, 910], [148, 939], [155, 1961], [158, 163], [158, 1175], [163, 465], [163, 860], [165, 251], [167, 756], [170, 653], [170, 765], [170, 1988], [175, 1151], [175, 1417], [175, 1663], [175, 2170], [175, 3025], [183, 910], [183, 2185], [183, 2963], [184, 646], [184, 1157], [185, 1530], [185, 1719], [189, 1733], [189, 2598], [207, 2445], [212, 2852], [212, 3013], [220, 2954], [237, 456], [240, 1016], [251, 761], [251, 1753], [251, 2312], [251, 2442], [261, 962], [261, 1208], [261, 2802], [266, 1246], [266, 1430], [266, 2898], [270, 1019], [270, 1711], [270, 1809], [270, 2331], [270, 2799], [270, 2857], [280, 1513], [280, 2831], [284, 1565], [297, 1860], [301, 509], [308, 2513], [314, 1105], [314, 2689], [314, 2842], [318, 2629], [323, 2112], [326, 989], [327, 1307], [328, 2208], [332, 769], [336, 1306], [336, 1919], [337, 378], [337, 2134], [347, 830], [372, 1015], [372, 1982], [372, 2904], [378, 2134], [391, 1982], [398, 1142], [398, 2326], [402, 1961], [405, 2982], [406, 2508], [412, 1885], [412, 2298], [419, 1394], [419, 1860], [419, 1906], [432, 517], [435, 1491], [449, 994], [455, 1641], [456, 2072], [456, 2968], [457, 547], [457, 1822], [458, 1001], [458, 2813], [461, 1530], [461, 1719], [462, 1604], [485, 1686], [485, 2954], [487, 1507], [497, 608], [497, 1019], [503, 2226], [509, 1155], [509, 1199], [510, 2361], [514, 2972], [521, 1656], [523, 927], [525, 1865], [526, 2854], [540, 743], [540, 1774], [552, 1384], [552, 1731], [556, 1874], [556, 2613], [567, 900], [568, 1025], [570, 2420], [576, 2690], [583, 1212], [591, 1208], [598, 602], [598, 688], [598, 1376], [598, 1992], [598, 2201], [598, 2636], [605, 1441], [605, 1711], [609, 1581], [611, 629], [611, 1003], [615, 1552], [618, 905], [618, 1011], [618, 2779], [624, 1306], [629, 836], [629, 2989], [640, 904], [640, 1262], [640, 1661], [646, 1157], [646, 2720], [649, 1873], [650, 1860], [653, 765], [653, 1988], [660, 1415], [660, 2024], [660, 2799], [660, 2950], [665, 685], [665, 2031], [668, 1569], [672, 1719], [672, 1821], [672, 2384], [682, 1681], [688, 1992], [688, 2669], [692, 2726], [700, 1846], [703, 1167], [703, 2182], [703, 2379], [705, 2949], [707, 2537], [720, 1033], [731, 1261], [732, 937], [735, 2016], [735, 2648], [738, 1853], [740, 1885], [740, 1980], [740, 2440], [740, 2721], [743, 1774], [744, 1487], [746, 2562], [755, 1025], [755, 1033], [755, 1777], [758, 2347], [765, 1956], [765, 1988], [765, 2756], [768, 817], [770, 2660], [781, 1909], [797, 1357], [817, 2208], [822, 910], [822, 1703], [822, 1917], [822, 2934], [830, 1057], [830, 2972], [836, 2989], [838, 931], [838, 2753], [854, 1176], [856, 874], [856, 1000], [856, 3003], [863, 2257], [863, 2352], [864, 1753], [865, 2306], [868, 1553], [870, 1214], [870, 1491], [874, 2583], [876, 2202], [879, 1616], [893, 1095], [893, 1757], [893, 1982], [893, 2260], [893, 2479], [900, 984], [902, 1032], [904, 1661], [911, 1272], [912, 2710], [912, 2963], [913, 1030], [913, 1320], [913, 1750], [913, 1925], [913, 2214], [913, 2237], [913, 2856], [925, 1781], [925, 2100], [926, 984], [927, 1414], [938, 1046], [938, 1296], [938, 1534], [962, 1511], [962, 2802], [976, 1750], [976, 2214], [976, 2237], [976, 2856], [985, 2619], [986, 1394], [986, 1892], [986, 2587], [994, 1985], [994, 2643], [995, 1553], [1007, 2537], [1011, 1297], [1019, 1525], [1019, 1711], [1019, 1809], [1019, 2331], [1019, 2799], [1022, 1025], [1025, 1033], [1025, 1172], [1026, 2930], [1026, 2989], [1028, 1831], [1030, 1320], [1030, 1925], [1030, 2237], [1030, 2856], [1033, 1903], [1037, 2703], [1044, 2181], [1055, 2749], [1061, 1325], [1061, 1438], [1061, 1708], [1063, 2739], [1066, 1485], [1066, 1781], [1073, 1590], [1077, 2816], [1080, 1607], [1082, 2904], [1087, 2458], [1089, 2185], [1097, 1263], [1099, 1105], [1099, 2689], [1099, 2832], [1105, 1495], [1105, 2832], [1109, 1561], [1109, 1615], [1131, 2714], [1134, 2295], [1136, 2947], [1141, 1564], [1151, 1417], [1151, 1663], [1151, 2170], [1151, 3025], [1157, 1281], [1157, 2720], [1158, 1516], [1166, 2231], [1172, 2000], [1174, 1415], [1174, 1625], [1174, 2892], [1201, 2190], [1201, 2270], [1201, 2709], [1206, 2852], [1208, 1518], [1208, 2338], [1208, 2975], [1214, 1491], [1214, 2298], [1219, 2322], [1219, 2750], [1224, 2746], [1226, 2075], [1245, 2529], [1246, 1430], [1246, 2012], [1246, 2135], [1246, 2898], [1270, 1932], [1270, 2118], [1275, 1460], [1281, 2720], [1286, 1590], [1286, 1606], [1286, 1698], [1288, 1663], [1293, 2683], [1299, 1876], [1300, 1896], [1300, 1901], [1306, 1919], [1319, 2614], [1320, 1387], [1320, 1414], [1320, 1925], [1320, 2237], [1320, 2856], [1325, 1438], [1325, 1561], [1325, 1708], [1331, 1449], [1331, 2808], [1336, 2000], [1336, 2996], [1337, 2008], [1337, 2461], [1337, 2681], [1344, 2047], [1354, 2483], [1354, 3037], [1360, 1922], [1360, 2049], [1384, 1875], [1387, 1414], [1392, 1828], [1394, 1892], [1403, 1571], [1410, 2607], [1415, 1470], [1415, 1625], [1415, 1633], [1415, 2799], [1417, 1663], [1417, 2170], [1417, 3025], [1421, 2845], [1426, 1829], [1429, 2825], [1430, 2898], [1438, 1708], [1441, 1562], [1441, 2012], [1441, 2457], [1449, 2733], [1451, 2713], [1460, 2268], [1478, 2066], [1478, 2088], [1478, 2652], [1511, 2512], [1513, 2831], [1518, 2975], [1530, 1719], [1530, 2039], [1535, 1651], [1539, 2047], [1540, 2129], [1548, 1807], [1561, 1708], [1561, 3020], [1569, 1990], [1572, 2766], [1573, 1696], [1573, 2849], [1579, 2548], [1588, 3003], [1590, 1698], [1600, 1617], [1600, 2932], [1601, 2312], [1601, 2381], [1601, 2560], [1604, 1828], [1604, 2361], [1604, 2656], [1616, 2104], [1617, 2932], [1626, 2338], [1632, 1920], [1639, 1868], [1639, 2370], [1640, 1748], [1644, 2363], [1656, 2580], [1661, 2930], [1661, 2989], [1663, 2170], [1663, 3025], [1686, 2231], [1686, 2954], [1689, 1699], [1700, 1791], [1700, 2082], [1700, 2398], [1701, 2435], [1711, 1809], [1711, 2222], [1711, 2331], [1731, 2170], [1735, 2217], [1741, 2386], [1750, 1925], [1750, 2214], [1750, 2237], [1750, 2856], [1753, 2312], [1757, 1982], [1757, 2260], [1757, 2479], [1789, 2995], [1790, 2985], [1791, 2082], [1804, 2351], [1807, 2352], [1807, 2854], [1809, 2331], [1809, 2799], [1822, 2651], [1829, 2032], [1829, 2100], [1829, 2674], [1831, 2537], [1831, 2866], [1846, 2229], [1860, 2453], [1868, 2370], [1871, 2622], [1875, 2166], [1885, 2440], [1885, 2923], [1892, 2245], [1892, 2587], [1898, 2257], [1911, 1924], [1912, 2400], [1917, 2374], [1917, 2384], [1917, 2934], [1919, 2086], [1919, 2514], [1922, 2049], [1925, 2214], [1925, 2237], [1925, 2666], [1925, 2856], [1932, 2118], [1941, 2386], [1942, 2654], [1951, 2236], [1961, 2583], [1965, 1989], [1978, 2570], [1979, 2599], [1980, 2440], [1985, 2643], [1989, 2715], [1992, 2669], [1999, 2749], [2008, 2284], [2008, 2732], [2019, 2728], [2021, 2965], [2048, 2742], [2066, 2346], [2067, 2409], [2079, 2802], [2088, 2093], [2088, 2607], [2093, 2607], [2093, 2815], [2098, 2440], [2099, 2811], [2135, 2740], [2141, 2264], [2152, 2651], [2163, 2217], [2170, 3025], [2185, 2963], [2190, 2270], [2190, 2709], [2197, 2896], [2201, 2361], [2214, 2237], [2214, 2704], [2214, 2856], [2218, 2854], [2218, 3019], [2224, 2724], [2224, 3017], [2231, 2896], [2231, 2954], [2234, 2774], [2237, 2856], [2255, 2606], [2257, 2352], [2257, 2731], [2260, 2560], [2270, 2387], [2270, 2709], [2284, 2732], [2298, 2923], [2309, 2500], [2322, 2750], [2331, 2976], [2335, 2494], [2336, 2599], [2351, 2599], [2352, 2854], [2374, 2384], [2379, 2890], [2396, 2695], [2397, 2746], [2398, 2759], [2405, 2855], [2422, 3020], [2426, 2465], [2461, 2681], [2468, 2816], [2500, 2562], [2517, 2641], [2562, 2894], [2571, 2752], [2599, 2863], [2601, 2800], [2689, 2832], [2689, 2842], [2690, 2740], [2721, 2807], [2742, 2881], [2774, 2866], [2799, 2857], [2806, 3041], [2840, 2854], [2857, 2976], [2999, 3003]]"
1,"[[137, 865], [137, 2306], [171, 1155], [383, 1640], [395, 2673], [591, 1208], [591, 2975], [611, 2989], [629, 836], [629, 2989], [912, 2963], [918, 2968], [1081, 2526], [1359, 2898], [1957, 2180], [2193, 2370]]"
2,"[[347, 1057], [386, 563], [598, 602], [640, 1262], [703, 1167], [830, 1057], [912, 2963], [913, 2524], [1141, 1564], [1246, 1359], [1354, 1883], [1620, 2734], [1789, 2995], [1846, 2229]]"
3,"[[563, 2388], [611, 629], [912, 2963]]"
