id,grade,,Actividades 01,Actividades 02,Actividades 03,Actividades 04,Actividades 05,Actividades 06,Actividades Avg,Proyecto 01,Proyecto 02,Proyecto 03,Proyecto 04,Proyecto 05,Proyecto Avg,Preguntas cortas 01,Preguntas cortas 02,Preguntas cortas 03,Preguntas cortas 04,Preguntas cortas 05,Preguntas cortas 06,Preguntas cortas 07,Preguntas cortas 08,Preguntas cortas 09,Preguntas cortas 10,Preguntas cortas Avg,Final,,,,,
6722594,0.96,0.95532771740596,0.947368421053,0.875,0.916666666667,0.909090909091,1,1,0.941354332802,1,1,0.75,1,1,0.95,0.9,1,1,0.909090909091,1,1,1,1,1,1,0.980909090909,0.966101694915,0,0,0,0,0
6554467,0.96,0.95452747817148,1,1,1,0.727272727273,1,1,0.954545454545,1,1,1,1,0.75,0.95,1,1,1,1,1,0.5,0.833333333333,1,1,1,0.933333333333,0.966101694915,0,0,0,0,0
6564418,0.95,0.95358243451471,1,1,1,1,1,1,1,0.75,1,1,1,1,0.95,1,1,1,0.909090909091,1,1,1,1,1,1,0.990909090909,0.898305084746,0,0,0,0,0
785360,0.95,0.95332627118642,1,1,1,1,1,1,1,1,1,1,0.666666666667,1,0.933333333333,1,1,0.875,1,1,1,1,1,1,1,0.9875,0.915254237288,0,0,0,0,0
6572311,0.95,0.9525378787879,1,1,0.916666666667,0.909090909091,1,1,0.97095959596,0.625,0.75,1,1,1,0.875,1,1,1,1,1,1,1,1,0.875,1,0.9875,1,0,0,0,0,0
6683046,0.95,0.95239731165369,0.947368421053,0.791666666667,0.833333333333,1,1,1,0.928728070175,1,0.875,1,1,1,0.975,1,0.25,1,0.636363636364,1,1,1,0.75,1,1,0.863636363636,0.983050847458,0,0,0,0,0
5727811,0.95,0.95116718027731,1,1,1,1,1,1,1,1,1,0.625,1,1,0.925,1,1,1,0.909090909091,1,1,1,1,1,1,0.990909090909,0.915254237288,0,0,0,0,0
273118,0.95,0.9503159381505,0.894736842105,0.916666666667,1,1,1,1,0.968567251462,0.625,1,1,1,1,0.925,1,1,0.875,1,1,1,1,1,0.875,1,0.975,0.949152542373,0,0,0,0,0
5961358,0.95,0.94856731678983,0.947368421053,1,1,0.909090909091,1,1,0.976076555024,0.75,1,1,1,1,0.95,0.9,1,1,1,1,0.5,1,1,0.875,0.833333333333,0.910833333333,0.932203389831,0,0,0,0,0
3259964,0.95,0.948154853621,1,1,1,0.818181818182,1,1,0.969696969697,1,0.875,1,1,0.75,0.925,1,1,1,1,1,0.5,1,1,1,1,0.95,0.949152542373,0,0,0,0,0
6326685,0.95,0.9479272970562,0.842105263158,1,1,1,1,1,0.973684210526,1,1,1,1,1,1,0.9,1,0.875,1,1,1,1,1,0.875,1,0.965,0.864406779661,0,0,0,0,0
6316364,0.95,0.947451754386,0.947368421053,0.916666666667,1,1,1,1,0.977339181287,0.875,1,1,1,0.5,0.875,0.8,0.5,0.875,1,1,1,1,1,1,1,0.9175,1,0,0,0,0,0
894035,0.95,0.94649910118136,1,0.958333333333,1,1,1,1,0.993055555556,1,1,1,1,0.75,0.95,1,1,1,0.909090909091,1,0.5,1,1,1,1,0.940909090909,0.898305084746,0,0,0,0,0
5507154,0.95,0.94628980482811,1,0.916666666667,1,0.909090909091,1,1,0.97095959596,0.875,1,1,1,0.75,0.925,1,1,0.875,0.909090909091,1,1,1,1,1,1,0.978409090909,0.932203389831,0,0,0,0,0
6721842,0.95,0.9457353958858,0.947368421053,0.916666666667,0.916666666667,0.909090909091,1,1,0.948298777246,0.75,0.875,1,1,1,0.925,0.9,1,1,1,1,1,1,1,1,1,0.99,0.949152542373,0,0,0,0,0
3869317,0.95,0.94547836752906,0.894736842105,0.875,1,0.818181818182,1,1,0.931319776715,1,1,1,1,1,1,1,1,0.875,0.909090909091,1,1,1,1,0.875,1,0.965909090909,0.898305084746,0,0,0,0,0
695330,0.95,0.94528983861806,0.947368421053,0.958333333333,0.916666666667,1,1,1,0.970394736842,0.875,1,0.625,1,1,0.9,0.9,1,0.875,0.909090909091,0.75,1,1,1,1,1,0.943409090909,0.966101694915,0,0,0,0,0
2096065,0.95,0.94487933527971,0.947368421053,0.958333333333,1,1,1,1,0.984283625731,0.875,1,1,0.666666666667,1,0.908333333333,1,1,1,0.818181818182,1,1,1,0.75,1,0.666666666667,0.923484848485,0.949152542373,0,0,0,0,0
493170,0.94,0.94402096342545,0.947368421053,1,1,1,1,1,0.991228070175,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.975,0.830508474576,0,0,0,0,0
3714553,0.94,0.94336418376457,0.947368421053,1,1,1,1,1,0.991228070175,0.75,1,1,0.666666666667,1,0.883333333333,1,1,0.875,1,0.75,1,1,1,1,1,0.9625,0.949152542373,0,0,0,0,0
4270086,0.94,0.94266242937857,1,1,0.833333333333,1,1,0.75,0.930555555556,1,1,1,0.666666666667,1,0.933333333333,1,1,1,1,1,1,1,1,0.875,1,0.9875,0.949152542373,0,0,0,0,0
6554784,0.94,0.94239923769362,0.947368421053,1,1,0.909090909091,1,1,0.976076555024,1,1,1,0.666666666667,1,0.933333333333,1,1,0.875,1,1,1,1,0.75,0.875,1,0.95,0.915254237288,0,0,0,0,0
5943353,0.94,0.9414839834565,0.947368421053,0.875,1,0.909090909091,1,1,0.955243221691,0.875,1,1,1,0.75,0.925,0.9,1,0.875,1,1,1,1,1,1,1,0.9775,0.932203389831,0,0,0,0,0
6563140,0.94,0.9408083286027,0.947368421053,1,1,0.727272727273,1,1,0.945773524721,0.875,1,1,1,1,0.975,1,1,1,1,0.75,0.5,1,1,0.75,1,0.9,0.915254237288,0,0,0,0,0
496919,0.94,0.93956728299958,1,0.916666666667,1,0.818181818182,0.875,1,0.934974747475,1,1,1,1,1,1,1,0.75,1,1,1,0.5,1,1,0.875,0.833333333333,0.895833333333,0.898305084746,0,0,0,0,0
6489924,0.94,0.9388481672207,0.894736842105,1,1,0.909090909091,1,1,0.967304625199,0.875,1,1,1,1,0.975,0.8,1,0.625,1,0.75,1,1,1,1,1,0.9175,0.881355932203,0,0,0,0,0
6406005,0.94,0.93802096342545,0.947368421053,1,1,1,1,1,0.991228070175,1,1,1,1,1,1,0.9,1,1,1,0.75,0.5,1,1,1,1,0.915,0.830508474576,0,0,0,0,0
1990352,0.94,0.93602661314314,0.947368421053,0.916666666667,1,0.818181818182,1,1,0.947036150984,0.875,1,1,1,1,0.975,1,1,1,0.909090909091,0.75,0.5,1,1,1,0.833333333333,0.899242424242,0.898305084746,0,0,0,0,0
2096045,0.94,0.93581934420021,0.789473684211,0.958333333333,0.916666666667,0.818181818182,1,1,0.913775917065,1,1,1,1,0.75,0.95,1,1,0.75,0.727272727273,1,0.5,0.833333333333,1,0.875,1,0.868560606061,0.966101694915,0,0,0,0,0
6523132,0.94,0.93564978509447,0.894736842105,0.875,1,0.818181818182,1,1,0.931319776715,1,1,1,1,1,1,1,1,0.875,0.818181818182,1,1,1,1,1,1,0.969318181818,0.864406779661,0,0,0,0,0
6362308,0.94,0.93560802043627,0.947368421053,0.958333333333,0.916666666667,0.818181818182,1,1,0.940091706539,1,1,1,0.666666666667,0.75,0.883333333333,1,1,0.875,1,1,1,1,1,1,1,0.9875,0.966101694915,0,0,0,0,0
4270037,0.93,0.93444469223908,0.947368421053,1,1,0.818181818182,0.875,1,0.940091706539,1,1,1,0.666666666667,1,0.933333333333,1,1,0.875,0.909090909091,1,1,1,1,1,1,0.978409090909,0.915254237288,0,0,0,0,0
6520820,0.93,0.93431590436025,0.947368421053,0.958333333333,1,0.909090909091,1,1,0.969132110579,0.75,0.75,1,1,1,0.9,0.9,1,1,1,1,1,1,1,1,1,0.99,0.915254237288,0,0,0,0,0
6663292,0.93,0.93381872921912,0.947368421053,1,1,0.909090909091,1,1,0.976076555024,1,1,1,0.666666666667,0.75,0.883333333333,1,0.75,1,1,0.75,1,1,0.75,0.875,1,0.9125,0.949152542373,0,0,0,0,0
83153,0.93,0.93371662206366,0.789473684211,0.916666666667,0.916666666667,0.818181818182,1,1,0.906831472621,0.875,1,1,1,1,0.975,0.8,0.75,1,0.909090909091,1,1,1,1,1,1,0.945909090909,0.915254237288,0,0,0,0,0
39438,0.93,0.93327943800197,0.947368421053,1,1,1,1,1,0.991228070175,0.875,1,1,0.666666666667,0.75,0.858333333333,1,1,1,1,1,1,1,1,0.875,1,0.9875,0.932203389831,0,0,0,0,0
6572116,0.93,0.93281783040046,0.947368421053,0.833333333333,1,0.909090909091,1,1,0.948298777246,1,1,1,1,1,1,1,1,0.875,0.909090909091,1,1,1,0.75,0.875,1,0.940909090909,0.847457627119,0,0,0,0,0
6409496,0.93,0.93257068904921,0.894736842105,0.958333333333,1,1,1,1,0.975511695906,0.5,1,1,1,1,0.9,1,1,1,0.909090909091,0.75,1,1,1,0.875,1,0.953409090909,0.915254237288,0,0,0,0,0
538661,0.93,0.93186697483312,1,1,0.833333333333,0.909090909091,1,1,0.957070707071,0.875,1,1,0.666666666667,1,0.908333333333,1,0.5,1,1,0.75,1,1,0.75,0.75,1,0.875,0.949152542373,0,0,0,0,0
6417223,0.93,0.93153697996926,1,0.958333333333,1,0.909090909091,1,1,0.977904040404,1,1,1,0.666666666667,1,0.933333333333,1,1,0.875,0.909090909091,0.75,0.5,1,1,1,0.833333333333,0.886742424242,0.898305084746,0,0,0,0,0
5792625,0.93,0.93139217554668,0.947368421053,0.916666666667,1,0.909090909091,1,1,0.962187666135,1,1,1,1,1,1,0.9,1,1,1,0.75,1,0.833333333333,1,0.875,1,0.935833333333,0.830508474576,0,0,0,0,0
6608387,0.93,0.93062280701753,0.315789473684,0.958333333333,0.916666666667,1,0.875,1,0.844298245614,0.875,1,1,1,1,0.975,0.9,1,0.875,1,1,0,1,1,0.875,0.833333333333,0.848333333333,1,0,0,0.1,0,0
6612382,0.93,0.929738700565,1,0.916666666667,1,1,1,1,0.986111111111,1,1,1,0.666666666667,1,0.933333333333,1,1,0.875,1,0.75,1,1,1,1,0.833333333333,0.945833333333,0.864406779661,0,0,0,0,0
6604998,0.93,0.92964304057535,1,0.916666666667,1,0.636363636364,1,0.75,0.883838383838,1,1,1,1,1,1,1,1,0.875,1,0.75,1,1,1,0.875,1,0.95,0.898305084746,0,0,0,0,0
6565136,0.93,0.92963691103728,0.947368421053,0.958333333333,0.916666666667,1,0.75,1,0.928728070175,0.75,1,1,1,1,0.95,0.9,0.5,0.875,0.727272727273,0.75,0.5,1,1,0.875,1,0.812727272727,0.949152542373,0,0,0,0,0
5386236,0.93,0.92926907117579,0.894736842105,0.916666666667,1,0.727272727273,0.875,1,0.902279372674,0.875,0.875,1,1,1,0.95,0.9,1,0.875,0.909090909091,1,1,0.833333333333,1,0.875,1,0.939242424242,0.932203389831,0,0,0,0,0
84470,0.93,0.92844889573722,1,0.916666666667,1,0.909090909091,1,1,0.97095959596,0.875,1,1,0.666666666667,0.75,0.858333333333,1,1,1,1,1,1,1,1,1,1,1,0.932203389831,0,0,0,0,0
6561676,0.93,0.92820226799663,0.947368421053,0.958333333333,1,1,1,1,0.984283625731,1,0.75,1,0.666666666667,1,0.883333333333,0.8,1,0.875,0.909090909091,0.75,1,1,1,1,1,0.933409090909,0.915254237288,0,0,0,0,0
6530649,0.93,0.92797829994855,1,0.958333333333,1,0.818181818182,1,1,0.962752525253,1,1,1,1,1,1,1,1,0.875,1,0.75,0.5,1,1,0.875,1,0.9,0.830508474576,0,0,0,0,0
6607407,0.93,0.92621969696971,1,0.791666666667,1,1,0.875,1,0.944444444444,0.5,1,1,1,1,0.9,0.8,0,1,0.363636363636,0.25,1,1,1,0.875,1,0.728863636364,1,0,0,0.1,0,0
6564527,0.93,0.92519809828904,0.842105263158,1,0.916666666667,0.818181818182,1,1,0.929492291334,1,0.75,1,1,1,0.95,0.9,0.5,0.75,0.727272727273,1,1,0.833333333333,0.75,0.875,0.833333333333,0.816893939394,0.932203389831,0,0,0,0,0
739989,0.93,0.92506869542883,1,1,1,0.818181818182,1,0.75,0.92803030303,0.875,1,1,1,0.75,0.925,1,1,1,1,0.75,1,0.833333333333,1,0.875,1,0.945833333333,0.915254237288,0,0,0,0,0
5758834,0.93,0.9250134552484,0.842105263158,0.916666666667,0.916666666667,1,0.875,1,0.925073099415,0.75,1,1,1,1,0.95,0.8,0.75,0.75,1,1,1,1,1,1,1,0.93,0.898305084746,0,0,0,0,0
6407627,0.93,0.92453136404185,0.947368421053,0.958333333333,1,0.818181818182,1,1,0.953980595428,0.75,1,1,1,1,0.95,1,1,1,0.818181818182,0.75,1,0.833333333333,1,1,1,0.940151515152,0.864406779661,0,0,0,0,0
5733122,0.92,0.92386556240387,1,1,1,0.909090909091,1,1,0.984848484848,0.875,0.875,1,0.666666666667,0.75,0.833333333333,1,1,0.875,1,1,1,1,1,1,1,0.9875,0.932203389831,0,0,0,0,0
3720896,0.92,0.92318160192477,0.736842105263,0.833333333333,0.833333333333,0.818181818182,1,0.75,0.828615098352,0.75,1,1,1,1,0.95,0.9,1,1,0.818181818182,0.75,1,1,1,1,1,0.946818181818,0.983050847458,0,0,0,0,0
4023164,0.92,0.9226085340469,0.947368421053,0.916666666667,1,1,1,1,0.977339181287,0.875,0.625,1,1,1,0.9,1,0.5,1,1,1,1,1,1,1,1,0.95,0.881355932203,0,0,0,0,0
6369621,0.92,0.92210516178747,1,1,1,0.727272727273,1,1,0.954545454545,0.875,1,1,0.666666666667,1,0.908333333333,1,1,0.875,1,1,0.5,1,1,1,1,0.9375,0.898305084746,0,0,0,0,0
2330086,0.92,0.92192254615747,0.842105263158,0.958333333333,1,0.818181818182,1,1,0.936436735779,1,1,1,0.666666666667,1,0.933333333333,0.9,1,1,1,0.75,0.5,1,1,1,1,0.915,0.898305084746,0,0,0,0,0
6460144,0.92,0.92099152542381,1,0.958333333333,0.916666666667,0.818181818182,1,1,0.948863636364,0.75,1,1,1,0.75,0.9,0.9,1,0.875,0.909090909091,1,1,1,1,1,1,0.968409090909,0.898305084746,0,0,0,0,0
94246,0.92,0.92087596301996,1,1,1,0.909090909091,1,1,0.984848484848,0.375,1,1,1,1,0.875,0.9,0.75,1,0.909090909091,0,0,1,0.75,1,1,0.730909090909,0.966101694915,0,0,0.2,0,0
6558527,0.92,0.91793939393943,1,0.916666666667,0.916666666667,1,1,1,0.972222222222,1,1,1,0,1,0.8,0.9,0.5,0.75,0.727272727273,0.75,1,1,1,1,1,0.862727272727,1,0,0.6,0,0,0
6539448,0.92,0.91766718027734,1,1,1,0.818181818182,1,1,0.969696969697,0.875,1,1,0.666666666667,0.75,0.858333333333,0.9,1,1,0.818181818182,1,1,1,1,0.75,1,0.946818181818,0.915254237288,0,0,0,0,0
5987999,0.92,0.91766242937857,1,0.958333333333,1,1,1,1,0.993055555556,0.625,1,0.625,0.666666666667,1,0.783333333333,1,1,1,1,1,1,1,1,1,1,1,0.949152542373,0,0,0,0,0
6562170,0.92,0.91725863676915,0.947368421053,0.958333333333,0.916666666667,0.636363636364,1,1,0.909788676236,0.75,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,0.864406779661,0,0,0,0,0
3262554,0.92,0.91724768875183,1,1,1,1,1,1,1,1,1,0.625,0.666666666667,1,0.858333333333,1,1,0.875,0.909090909091,1,1,1,1,0.75,1,0.953409090909,0.881355932203,0,0,0,0,0
6539688,0.92,0.91724155921408,0.947368421053,0.958333333333,1,0.909090909091,1,1,0.969132110579,0.75,1,1,0.666666666667,0.75,0.833333333333,0.9,1,0.875,0.909090909091,1,1,1,1,1,1,0.968409090909,0.932203389831,0,0,0,0,0
6565536,0.92,0.91590206255242,0.947368421053,0.958333333333,0.833333333333,0.909090909091,1,1,0.941354332802,1,1,1,0.666666666667,0.5,0.833333333333,1,1,0.875,1,1,1,1,1,1,1,0.9875,0.949152542373,0,0,0,0,0
6518589,0.92,0.91526483388737,0.894736842105,0.916666666667,0.833333333333,0.909090909091,1,1,0.925637958533,1,1,1,1,0.75,0.95,0.9,0.75,1,1,0.75,1,0.666666666667,0.75,1,1,0.881666666667,0.881355932203,0,0,0,0,0
6560909,0.92,0.91500192604023,1,1,1,1,1,1,1,0.625,1,1,0.666666666667,0.75,0.808333333333,1,0.75,0.875,0.909090909091,0.75,1,1,1,1,1,0.928409090909,0.932203389831,0,0,0,0,0
6403380,0.91,0.91419523963992,0.894736842105,0.875,1,0.909090909091,1,1,0.946471291866,1,0.875,1,1,1,0.975,0.9,0.25,0.75,0.818181818182,0.75,1,1,0.5,0.875,1,0.784318181818,0.864406779661,0,0,0,0,0
5816514,0.91,0.91397499526937,0.947368421053,0.958333333333,1,0.727272727273,1,1,0.938829080276,1,1,1,0.666666666667,0.75,0.883333333333,0.9,1,0.875,1,0.5,1,1,1,1,1,0.9275,0.915254237288,0,0,0,0,0
14554,0.91,0.9128646973752,0.947368421053,0.958333333333,1,1,1,1,0.984283625731,1,1,1,0.666666666667,0.75,0.883333333333,1,1,1,0.909090909091,1,1,1,1,0.75,0.666666666667,0.932575757576,0.864406779661,0,0,0,0,0
6574348,0.91,0.91273115859767,0.947368421053,0.958333333333,1,0.909090909091,1,1,0.969132110579,0.875,1,1,0.666666666667,0.75,0.858333333333,1,1,1,1,1,0.5,1,1,1,1,0.95,0.898305084746,0,0,0,0,0
3727949,0.91,0.9126000594707,0.947368421053,0.916666666667,1,1,1,1,0.977339181287,0.875,1,1,1,1,0.975,0.8,1,0.875,1,1,1,1,0.75,0.875,1,0.93,0.779661016949,0,0,0,0,0
6603336,0.91,0.91235105966006,0.789473684211,0.958333333333,1,0.909090909091,1,1,0.942816321106,1,1,1,0,1,0.8,0.8,1,1,0.909090909091,0.75,1,1,1,1,1,0.945909090909,0.983050847458,0,0.6,0,0,0
6644578,0.91,0.91228842618882,0.947368421053,0.958333333333,0.916666666667,0.818181818182,1,1,0.940091706539,0.75,1,1,0.666666666667,0.75,0.833333333333,0.9,1,1,0.818181818182,1,1,1,1,1,0.833333333333,0.955151515152,0.949152542373,0,0,0,0,0
6498144,0.91,0.91227661314312,0.947368421053,0.958333333333,1,1,1,1,0.984283625731,1,1,1,0.666666666667,0.5,0.833333333333,1,1,0.875,1,1,1,1,1,0.875,1,0.975,0.898305084746,0,0,0,0,0
6504324,0.91,0.91198446327685,1,0.958333333333,1,1,1,1,0.993055555556,0.75,1,1,1,0.75,0.9,1,1,1,1,1,1,1,1,1,1,1,0.813559322034,0,0,0,0,0
3372897,0.91,0.91162031330261,1,0.833333333333,0.916666666667,0.909090909091,1,1,0.943181818182,1,1,0.75,0.666666666667,1,0.883333333333,0.8,1,1,0.909090909091,1,1,1,1,0.875,0.833333333333,0.941742424242,0.898305084746,0,0,0,0,0
6419893,0.91,0.91097361663032,0.894736842105,0.958333333333,1,0.818181818182,1,1,0.945208665603,0.625,1,1,0.666666666667,1,0.858333333333,0.9,1,0.875,1,0.75,0.5,1,1,1,1,0.9025,0.932203389831,0,0,0,0,0
6186691,0.91,0.91030463871546,0.894736842105,1,1,0.818181818182,1,1,0.952153110048,0.75,1,1,1,1,0.95,0.9,0.75,1,0.909090909091,1,1,1,1,1,1,0.955909090909,0.813559322034,0,0,0,0,0
6207287,0.91,0.90981728299957,1,0.958333333333,1,0.818181818182,1,0.75,0.921085858586,1,1,1,0.666666666667,0.75,0.883333333333,0.9,1,1,1,1,1,1,1,1,1,0.99,0.898305084746,0,0,0,0,0
3722664,0.91,0.90974066039518,0.947368421053,1,0.916666666667,0.727272727273,1,1,0.931884635832,0.875,1,1,1,1,0.975,1,1,0.875,0.727272727273,1,0.5,1,0.75,1,1,0.885227272727,0.830508474576,0,0,0,0,0
6671724,0.91,0.90858391452449,0.894736842105,0.875,0.916666666667,1,1,1,0.947733918129,1,1,0,1,1,0.8,0.7,1,0.875,0.818181818182,1,1,0.666666666667,1,0.875,1,0.893484848485,0.983050847458,0,0.6,0,0,0
120032,0.91,0.9081056753981,1,1,0.916666666667,0.909090909091,1,1,0.97095959596,0.75,1,1,1,1,0.95,0.9,0.5,0.875,1,0.75,1,1,0.75,1,1,0.8775,0.813559322034,0,0,0,0,0
6508986,0.91,0.90723876814548,0.894736842105,1,1,1,1,1,0.982456140351,0.625,1,0.625,0.666666666667,1,0.783333333333,1,1,0.875,0.909090909091,1,1,1,1,1,1,0.978409090909,0.932203389831,0,0,0,0,0
6254632,0.91,0.90653701375953,0.947368421053,0.833333333333,1,1,1,0.75,0.921783625731,1,1,1,0.666666666667,0.75,0.883333333333,1,0.75,0.75,0.909090909091,1,0.5,1,0.75,0.875,1,0.853409090909,0.932203389831,0,0,0,0,0
