LogisticRegression__01;6191442;0;[0.999944448554, 5.55514461267e-05]
LogisticRegression__01;6411309;0;[0.983733713915, 0.0162662860851]
LogisticRegression__01;559588;0;[0.999993066099, 6.93390127813e-06]
LogisticRegression__01;6577041;0;[0.999986233145, 1.37668550096e-05]
LogisticRegression__01;3725347;0;[0.999466542856, 0.000533457143575]
LogisticRegression__01;6460047;0;[0.998801025617, 0.00119897438275]
LogisticRegression__01;5733122;0;[0.999989954703, 1.00452972804e-05]
LogisticRegression__01;6551980;0;[0.952920693532, 0.0470793064681]
LogisticRegression__01;2742834;0;[0.999987863318, 1.21366817048e-05]
LogisticRegression__01;6542820;0;[0.999929235726, 7.07642744543e-05]
LogisticRegression__01;6585643;0;[0.997670006086, 0.00232999391351]
LogisticRegression__01;6638030;0;[0.999193883435, 0.000806116565108]
LogisticRegression__01;2597827;0;[0.601915045104, 0.398084954896]
LogisticRegression__01;4892675;0;[0.999996715476, 3.28452448782e-06]
LogisticRegression__01;6164662;0;[0.999998963386, 1.03661440726e-06]
LogisticRegression__01;6548688;0;[0.999994018796, 5.98120377406e-06]
LogisticRegression__01;2934171;0;[0.999355599692, 0.000644400307903]
LogisticRegression__01;3709407;0;[0.648772305146, 0.351227694854]
LogisticRegression__01;6700680;0;[0.999624521295, 0.000375478705315]
LogisticRegression__01;6334590;0;[0.999963775598, 3.62244017917e-05]
LogisticRegression__01;6138359;0;[0.770020630434, 0.229979369566]
LogisticRegression__01;6737440;0;[0.999987989468, 1.20105315622e-05]
LogisticRegression__01;6644578;0;[0.999997164926, 2.83507434488e-06]
LogisticRegression__01;6581022;0;[0.998167742748, 0.00183225725239]
LogisticRegression__01;3076049;0;[0.999991485511, 8.51448888529e-06]
LogisticRegression__01;6528164;0;[0.999987582254, 1.2417746428e-05]
LogisticRegression__01;6585906;0;[0.999923960495, 7.6039505278e-05]
LogisticRegression__01;6542391;0;[0.999917814544, 8.2185455757e-05]
LogisticRegression__01;6719163;0;[0.999956012986, 4.39870136132e-05]
LogisticRegression__01;6569925;0;[0.999941958833, 5.8041166693e-05]
LogisticRegression__01;3372897;0;[0.98801303534, 0.0119869646604]
LogisticRegression__01;2821354;0;[0.999842545018, 0.000157454981873]
LogisticRegression__01;6575226;0;[0.999518452992, 0.000481547007529]
LogisticRegression__01;6420963;0;[0.997110255549, 0.00288974445099]
LogisticRegression__01;6229140;0;[0.999991313215, 8.68678466874e-06]
LogisticRegression__01;902929;0;[0.999974669249, 2.53307509822e-05]
LogisticRegression__01;5727811;1;[0.114967828557, 0.885032171443]
LogisticRegression__01;6215161;0;[0.987772472382, 0.012227527618]
LogisticRegression__01;6545093;0;[0.998968291664, 0.00103170833583]
LogisticRegression__01;6546148;0;[0.999783374328, 0.000216625672077]
LogisticRegression__01;4690122;0;[0.98045346537, 0.0195465346298]
LogisticRegression__01;6572276;0;[0.847040301863, 0.152959698137]
LogisticRegression__01;6594978;0;[0.833221960152, 0.166778039848]
LogisticRegression__01;6556720;0;[0.999360348444, 0.000639651555922]
LogisticRegression__01;6109902;0;[0.999626683606, 0.000373316393658]
LogisticRegression__01;6447824;0;[0.999895324105, 0.000104675894778]
LogisticRegression__01;6589080;0;[0.99995033126, 4.9668740245e-05]
LogisticRegression__01;6599097;0;[0.971159750534, 0.028840249466]
LogisticRegression__01;5885601;0;[0.999978037302, 2.1962698186e-05]
