MLPClassifier__01;2027023;0;[0.990929272209, 0.00907072779077]
MLPClassifier__01;6512359;0;[0.985837036683, 0.0141629633174]
MLPClassifier__01;5947797;0;[0.94969265703, 0.0503073429702]
MLPClassifier__01;6559054;0;[0.999999989022, 1.09783589359e-08]
MLPClassifier__01;4415424;0;[0.992471712693, 0.00752828730729]
MLPClassifier__01;6650763;0;[0.999999997604, 2.39645259143e-09]
MLPClassifier__01;6561676;1;[0.0220009985972, 0.977999001403]
MLPClassifier__01;6129670;0;[0.990025123953, 0.0099748760466]
MLPClassifier__01;6568580;0;[0.982754711971, 0.0172452880291]
MLPClassifier__01;4590300;0;[0.640567129365, 0.359432870635]
MLPClassifier__01;6186067;0;[0.996483673618, 0.00351632638194]
MLPClassifier__01;6306535;0;[0.992924908708, 0.00707509129173]
MLPClassifier__01;26516;0;[0.871413864808, 0.128586135192]
MLPClassifier__01;6591384;0;[0.917162101194, 0.0828378988062]
MLPClassifier__01;6535226;0;[0.999820452592, 0.000179547407855]
MLPClassifier__01;6354383;0;[0.999969861648, 3.01383521833e-05]
MLPClassifier__01;6394827;0;[0.98762372846, 0.0123762715403]
MLPClassifier__01;6653671;0;[0.844620840639, 0.155379159361]
MLPClassifier__01;364551;0;[0.999999999115, 8.85497436269e-10]
MLPClassifier__01;6549340;1;[0.869010125632, 0.130989874368]
MLPClassifier__01;6567210;0;[0.999993203646, 6.79635421625e-06]
MLPClassifier__01;6321462;0;[0.344641184286, 0.655358815714]
MLPClassifier__01;6670430;0;[0.991122320517, 0.00887767948274]
MLPClassifier__01;126919;0;[0.99998791205, 1.2087950339e-05]
MLPClassifier__01;6679879;0;[0.867121456659, 0.132878543341]
MLPClassifier__01;6590429;0;[0.95528558259, 0.0447144174101]
MLPClassifier__01;6403884;0;[0.977236605334, 0.0227633946662]
MLPClassifier__01;6531875;0;[0.999632373711, 0.000367626289138]
MLPClassifier__01;6550342;0;[1.0, 1.40888883927e-13]
MLPClassifier__01;6404940;0;[0.999199666368, 0.000800333632427]
