,0
0,"[[3, 2167], [14, 2540], [21, 1662], [21, 2141], [33, 1073], [51, 1121], [76, 277], [91, 2463], [96, 186], [96, 1070], [114, 2764], [118, 286], [118, 1051], [125, 623], [132, 986], [136, 2472], [141, 1481], [174, 1972], [186, 2247], [191, 579], [203, 2746], [204, 688], [204, 852], [226, 1950], [226, 2369], [230, 983], [269, 1645], [286, 1011], [314, 1960], [322, 2018], [342, 506], [364, 2371], [364, 2826], [365, 1589], [365, 2857], [376, 884], [381, 1730], [386, 1048], [391, 585], [408, 438], [414, 699], [430, 784], [439, 668], [456, 622], [471, 1168], [479, 2262], [495, 1950], [516, 1646], [538, 1445], [538, 1646], [550, 1877], [552, 1426], [566, 1625], [585, 1929], [595, 1572], [595, 2223], [600, 1655], [629, 1899], [637, 1049], [655, 1125], [673, 1706], [673, 1744], [676, 2029], [688, 2767], [700, 2569], [729, 976], [738, 2675], [802, 883], [810, 846], [810, 1484], [810, 1798], [813, 1459], [813, 1634], [820, 849], [820, 1362], [842, 2223], [846, 1125], [848, 2836], [849, 913], [849, 1362], [913, 1362], [931, 1656], [945, 1479], [945, 1876], [953, 1744], [953, 2836], [983, 1664], [992, 1891], [1033, 1891], [1051, 1177], [1067, 2836], [1125, 1798], [1168, 2772], [1216, 2462], [1251, 1484], [1302, 2341], [1305, 1820], [1310, 1428], [1349, 2128], [1373, 2275], [1426, 1612], [1426, 1934], [1426, 2472], [1426, 2495], [1426, 2508], [1439, 2434], [1442, 2440], [1459, 1634], [1507, 2043], [1507, 2288], [1532, 1866], [1538, 2503], [1547, 2731], [1572, 2223], [1604, 1806], [1625, 1889], [1627, 1701], [1644, 2262], [1662, 1845], [1706, 1744], [1714, 2245], [1714, 2617], [1715, 2610], [1740, 1890], [1776, 2275], [1784, 2524], [1810, 2781], [1889, 2084], [1890, 1980], [1972, 2490], [2002, 2723], [2063, 2272], [2068, 2187], [2113, 2229], [2201, 2418], [2298, 2662], [2310, 2873], [2371, 2826], [2440, 2898], [2463, 2725], [2527, 2630], [2553, 2810], [2723, 2874], [2780, 2796]]"
1,"[[91, 2463], [136, 2472], [141, 1481], [376, 884], [392, 1426], [408, 438], [456, 622], [673, 1706], [673, 1744], [673, 1760], [778, 2772], [1031, 1647], [1067, 2836], [1360, 2472], [1373, 2275], [1538, 2503], [1542, 2472], [1627, 1701], [1627, 2772], [1776, 2275], [2780, 2796]]"
2,"[[14, 2540], [14, 2848], [136, 1360], [953, 2652], [1439, 2434], [1507, 2043], [1744, 2652]]"
3,"[[2462, 2791], [2540, 2848], [2780, 2796]]"
