,0
0,"[[2, 1262], [6, 1046], [14, 905], [27, 1918], [32, 815], [61, 1245], [67, 1046], [85, 356], [85, 515], [85, 575], [85, 2036], [102, 1572], [126, 1594], [194, 1031], [194, 1933], [205, 303], [208, 354], [214, 1972], [244, 575], [244, 732], [261, 1452], [266, 1751], [272, 2016], [293, 964], [308, 1334], [308, 1748], [337, 1496], [356, 2036], [392, 1915], [410, 413], [418, 1077], [419, 430], [419, 2048], [430, 580], [430, 2048], [436, 621], [436, 870], [455, 840], [456, 1068], [478, 1120], [478, 1992], [486, 808], [496, 1087], [530, 595], [530, 1733], [536, 1050], [546, 1388], [546, 1583], [550, 576], [575, 732], [580, 2048], [595, 1572], [595, 1733], [626, 2030], [659, 1912], [677, 1203], [702, 1225], [705, 1247], [726, 1912], [731, 1733], [792, 1064], [872, 1655], [924, 1390], [950, 1609], [957, 1836], [1155, 1453], [1156, 1836], [1162, 1422], [1194, 1791], [1210, 2055], [1239, 1498], [1252, 1518], [1301, 1620], [1334, 1748], [1336, 1349], [1388, 1583], [1427, 1672], [1548, 1766], [1703, 1915], [1725, 1803]]"
1,"[[14, 905], [102, 1572], [126, 1594], [273, 1830], [407, 839], [419, 2048], [430, 580], [430, 2048], [626, 2030], [630, 2033], [726, 1912], [1162, 1422], [1332, 1485]]"
2,"[[85, 1076], [214, 1972], [244, 732], [266, 1751], [436, 870], [478, 1992], [486, 808], [575, 732], [626, 2030], [792, 1064], [1210, 2055], [1252, 1518], [1548, 1766]]"
3,"[[803, 1060]]"
