,0
0,"[[3, 2167], [10, 1397], [14, 2540], [14, 2848], [21, 1073], [21, 1662], [21, 2141], [33, 1073], [33, 1428], [33, 2723], [51, 93], [51, 1121], [55, 2731], [56, 57], [56, 1928], [56, 2163], [56, 2771], [57, 1469], [60, 1995], [60, 2821], [69, 538], [69, 1445], [76, 277], [76, 280], [87, 554], [91, 2463], [91, 2725], [96, 186], [96, 1070], [96, 2247], [109, 365], [110, 794], [110, 2369], [114, 2764], [118, 286], [118, 1051], [125, 623], [126, 188], [126, 1390], [126, 1530], [126, 1625], [132, 986], [136, 2377], [136, 2472], [141, 1481], [148, 1766], [158, 1857], [174, 381], [174, 1972], [175, 637], [175, 1168], [175, 2772], [184, 972], [186, 1070], [186, 1280], [186, 2247], [186, 2731], [191, 579], [194, 2796], [195, 734], [195, 1051], [195, 1620], [198, 1375], [200, 936], [203, 2746], [204, 688], [204, 852], [204, 1740], [205, 1766], [221, 2050], [226, 566], [226, 1950], [226, 2369], [230, 983], [230, 1890], [230, 2231], [236, 688], [236, 2223], [245, 2590], [264, 1426], [269, 1645], [273, 858], [273, 1723], [277, 2674], [278, 2634], [280, 2113], [286, 1011], [286, 2826], [287, 1278], [287, 2341], [288, 2088], [293, 340], [293, 676], [293, 1220], [293, 1589], [293, 1625], [293, 2029], [314, 1960], [315, 755], [315, 2310], [315, 2873], [321, 559], [322, 2018], [324, 885], [342, 506], [347, 1005], [351, 2109], [357, 653], [357, 1406], [364, 1701], [364, 2371], [364, 2826], [365, 975], [365, 1589], [365, 2857], [375, 498], [375, 1382], [376, 884], [380, 495], [380, 1950], [380, 2113], [381, 1730], [381, 1972], [381, 2335], [381, 2490], [386, 1048], [386, 1979], [386, 2627], [386, 2868], [391, 585], [391, 1929], [408, 438], [414, 699], [414, 1517], [417, 474], [419, 633], [430, 784], [439, 668], [439, 1332], [456, 622], [471, 810], [471, 846], [471, 883], [471, 1168], [471, 1251], [471, 1336], [471, 1484], [478, 751], [479, 1644], [479, 2262], [495, 1950], [509, 2537], [516, 1646], [517, 1823], [538, 1445], [538, 1646], [544, 1162], [550, 580], [550, 1877], [552, 1426], [555, 2712], [563, 802], [566, 1625], [566, 1723], [574, 1375], [574, 1913], [579, 775], [580, 1877], [585, 1929], [595, 1572], [595, 2223], [600, 1655], [608, 2906], [629, 1899], [633, 1307], [637, 1049], [637, 1168], [638, 1302], [643, 865], [655, 810], [655, 1125], [655, 1913], [668, 1332], [673, 1706], [673, 1744], [676, 2029], [682, 836], [685, 2276], [688, 2767], [699, 1517], [700, 2569], [701, 2738], [711, 2873], [712, 836], [717, 1459], [717, 1634], [729, 976], [738, 1875], [738, 2675], [753, 2474], [753, 2890], [773, 2488], [789, 2342], [794, 2369], [796, 1090], [802, 883], [802, 1177], [808, 938], [810, 846], [810, 1125], [810, 1251], [810, 1484], [810, 1798], [812, 2754], [813, 1459], [813, 1579], [813, 1634], [818, 1794], [819, 2324], [820, 849], [820, 913], [820, 1362], [842, 2223], [846, 1125], [846, 1251], [846, 1484], [848, 2836], [849, 913], [849, 1362], [852, 1073], [875, 1797], [884, 1294], [884, 2472], [886, 2531], [905, 1646], [913, 1362], [928, 1384], [931, 1656], [940, 2450], [945, 1479], [945, 1876], [945, 2512], [951, 1889], [953, 1744], [953, 2836], [961, 2631], [966, 2479], [975, 1740], [983, 1664], [983, 2564], [985, 2097], [992, 1891], [1033, 1729], [1033, 1891], [1048, 2041], [1049, 1168], [1049, 1280], [1050, 1500], [1050, 1993], [1051, 1177], [1052, 2146], [1058, 1191], [1067, 2836], [1069, 1591], [1070, 2247], [1073, 2154], [1073, 2748], [1092, 1892], [1104, 2433], [1106, 1158], [1116, 1609], [1125, 1484], [1125, 1798], [1125, 1913], [1143, 1599], [1168, 1177], [1168, 1484], [1168, 2772], [1177, 1547], [1213, 2231], [1213, 2589], [1213, 2870], [1216, 2462], [1218, 1589], [1218, 2056], [1221, 2868], [1251, 1484], [1259, 2781], [1278, 1890], [1278, 2341], [1280, 2674], [1281, 2361], [1281, 2906], [1294, 2472], [1302, 1351], [1302, 2341], [1304, 2044], [1305, 1820], [1307, 1911], [1310, 1428], [1321, 2078], [1349, 2128], [1351, 1740], [1351, 2315], [1351, 2341], [1353, 2731], [1355, 1621], [1373, 2275], [1406, 1790], [1425, 1766], [1426, 1612], [1426, 1934], [1426, 2472], [1426, 2495], [1426, 2508], [1428, 2064], [1428, 2616], [1435, 2890], [1439, 2434], [1442, 1775], [1442, 2440], [1445, 1646], [1445, 2912], [1452, 2135], [1459, 1634], [1459, 2088], [1469, 1723], [1479, 1876], [1479, 2512], [1494, 2050], [1505, 2399], [1507, 1579], [1507, 2043], [1507, 2288], [1532, 1866], [1538, 2503], [1547, 2731], [1547, 2748], [1572, 2223], [1579, 2043], [1587, 2104], [1588, 2050], [1589, 2857], [1604, 1806], [1621, 1893], [1625, 1889], [1625, 2706], [1625, 2788], [1625, 2906], [1627, 1701], [1632, 2851], [1644, 2262], [1660, 1961], [1662, 1845], [1688, 2064], [1701, 2772], [1701, 2826], [1706, 1744], [1706, 2692], [1714, 2245], [1714, 2617], [1715, 2610], [1726, 2873], [1730, 2335], [1740, 1890], [1741, 2371], [1744, 2652], [1755, 1950], [1760, 1920], [1776, 2275], [1777, 2898], [1784, 2524], [1791, 2417], [1796, 2578], [1798, 2608], [1810, 2781], [1848, 2710], [1876, 2512], [1889, 2084], [1889, 2663], [1890, 1980], [1890, 2488], [1892, 1935], [1892, 2675], [1892, 2689], [1935, 2315], [1972, 2490], [1972, 2702], [1972, 2714], [1980, 2488], [1986, 2524], [1995, 2821], [2002, 2064], [2002, 2723], [2063, 2272], [2064, 2616], [2064, 2874], [2068, 2187], [2113, 2229], [2187, 2755], [2201, 2418], [2209, 2608], [2209, 2610], [2231, 2303], [2231, 2369], [2236, 2469], [2245, 2617], [2275, 2688], [2276, 2369], [2298, 2662], [2310, 2873], [2315, 2341], [2361, 2616], [2361, 2906], [2370, 2428], [2371, 2826], [2377, 2472], [2440, 2898], [2463, 2725], [2466, 2907], [2527, 2630], [2553, 2810], [2723, 2874], [2772, 2826], [2780, 2796]]"
1,"[[91, 2463], [136, 2472], [141, 1481], [376, 884], [392, 1426], [404, 2790], [408, 438], [456, 622], [621, 2064], [673, 1706], [673, 1744], [673, 1760], [778, 2772], [1031, 1647], [1067, 2836], [1294, 2472], [1360, 2377], [1360, 2472], [1373, 2275], [1538, 2503], [1542, 2472], [1627, 1701], [1627, 2772], [1776, 2275], [2780, 2796], [2811, 2882]]"
2,"[[14, 2540], [14, 2848], [136, 376], [136, 1294], [136, 1360], [148, 1949], [789, 2297], [953, 2652], [1439, 2434], [1507, 2043], [1744, 2652], [2275, 2288], [2462, 2791]]"
3,"[[2462, 2791], [2540, 2848], [2780, 2796]]"
