,0
0,"[[2, 2216], [4, 2155], [20, 1563], [24, 2303], [43, 675], [58, 507], [84, 1544], [92, 2194], [97, 1072], [97, 2578], [97, 3527], [98, 2633], [99, 2424], [99, 2506], [100, 2489], [102, 3003], [107, 1835], [113, 2351], [126, 598], [126, 872], [126, 975], [126, 1884], [126, 3539], [129, 1005], [129, 3573], [131, 1835], [153, 1476], [157, 2748], [161, 2991], [188, 1366], [197, 2786], [202, 1985], [202, 2588], [210, 1072], [214, 491], [214, 1927], [221, 724], [224, 3349], [256, 1751], [261, 3434], [273, 1190], [307, 1479], [307, 3448], [312, 2776], [319, 3220], [322, 1799], [322, 3368], [341, 510], [348, 593], [355, 3429], [362, 3369], [368, 3157], [387, 1550], [391, 1170], [398, 975], [398, 1249], [442, 3040], [456, 2770], [466, 806], [481, 3515], [491, 1927], [495, 3369], [506, 574], [517, 2339], [517, 3034], [529, 2170], [535, 1707], [559, 2031], [585, 2633], [593, 1367], [593, 2786], [598, 3539], [648, 1640], [668, 1206], [670, 3338], [685, 1556], [694, 1433], [702, 706], [710, 1875], [713, 1885], [715, 735], [715, 982], [715, 3557], [720, 1847], [730, 2286], [735, 982], [735, 3557], [746, 1064], [746, 1499], [746, 1982], [746, 3557], [759, 794], [762, 2372], [785, 1640], [785, 2232], [806, 2371], [811, 1964], [811, 3454], [817, 3425], [823, 1383], [828, 3016], [850, 2344], [890, 1894], [892, 2838], [896, 1016], [933, 976], [956, 1214], [975, 1249], [981, 3349], [982, 3557], [1005, 3573], [1016, 2748], [1017, 1269], [1019, 1849], [1051, 3141], [1064, 1982], [1064, 3557], [1072, 3527], [1074, 2298], [1134, 3332], [1150, 1649], [1164, 2117], [1200, 2757], [1201, 3318], [1203, 2312], [1203, 3399], [1214, 1570], [1214, 3014], [1233, 2601], [1240, 3332], [1248, 2151], [1279, 3001], [1279, 3224], [1297, 1500], [1297, 1501], [1297, 2885], [1305, 1776], [1324, 2728], [1343, 2599], [1351, 1863], [1363, 1681], [1367, 2786], [1374, 2838], [1448, 2766], [1479, 2544], [1487, 2852], [1501, 2885], [1515, 1805], [1529, 1681], [1535, 3480], [1544, 2259], [1588, 3586], [1594, 2443], [1626, 2332], [1640, 2232], [1691, 2538], [1707, 2493], [1710, 1861], [1745, 1938], [1778, 2655], [1799, 3368], [1827, 1968], [1896, 3561], [1905, 2728], [1908, 2195], [1931, 3251], [1937, 3163], [1968, 3393], [1982, 3557], [1985, 3542], [1985, 3598], [1988, 2689], [2012, 3515], [2030, 3384], [2036, 2494], [2069, 2838], [2088, 2704], [2096, 2364], [2096, 2694], [2134, 3564], [2179, 2624], [2179, 3047], [2194, 2694], [2195, 2656], [2225, 2820], [2233, 2899], [2284, 3490], [2290, 2445], [2298, 3398], [2312, 3399], [2335, 2600], [2386, 3111], [2386, 3268], [2410, 3240], [2413, 3530], [2545, 2979], [2555, 2628], [2588, 3598], [2612, 3220], [2650, 3589], [2704, 3068], [2721, 3411], [2839, 3220], [2884, 2929], [2937, 2947], [2993, 3138], [3026, 3141], [3111, 3268], [3233, 3338], [3262, 3372], [3262, 3506], [3372, 3558]]"
1,"[[20, 1563], [157, 2748], [197, 1367], [197, 2786], [311, 1064], [453, 3176], [694, 1433], [715, 735], [715, 982], [715, 3557], [735, 982], [735, 3557], [755, 2650], [763, 1481], [933, 976], [1072, 3527], [1240, 3332], [1588, 3586], [1738, 2627], [2036, 2494], [2335, 2600]]"
2,"[[126, 1884], [355, 3429], [398, 1249], [442, 3040], [702, 706], [715, 735], [746, 1499], [811, 3454], [823, 1383], [975, 1249], [1072, 3527], [1074, 3000], [1351, 1863], [1931, 3251], [1985, 2873], [2134, 3564], [2195, 2656], [2704, 3068]]"
3,"[[256, 1751], [462, 763], [585, 2633], [663, 2840], [715, 735], [746, 1499], [1072, 3527], [2873, 3542]]"
