,0
0,"[[2, 1862], [110, 514], [110, 830], [110, 2972], [137, 2306], [280, 1513], [280, 2831], [301, 509], [347, 830], [398, 2326], [514, 2972], [591, 1208], [598, 602], [609, 1581], [611, 629], [629, 836], [629, 2989], [640, 1262], [640, 1661], [703, 1167], [830, 1057], [836, 2989], [904, 1661], [912, 2963], [962, 2802], [1141, 1564], [1344, 2047], [1513, 2831], [1661, 2989], [1789, 2995], [1846, 2229], [1999, 2749], [2721, 2807]]"
1,"[[137, 2306], [171, 1155], [395, 2673], [591, 1208], [629, 836], [629, 2989], [912, 2963], [1957, 2180]]"
2,"[[598, 602], [640, 1262], [703, 1167], [830, 1057], [912, 2963], [913, 2524], [1141, 1564], [1620, 2734], [1789, 2995], [1846, 2229]]"
3,"[[611, 629]]"
