,Usuario
0,2507090
1,6431460
2,6283023
3,3727949
4,6612382
5,6606208
6,3978777
7,6524823
8,2779036
9,6316147
10,6504209
11,6578662
12,6573750
13,6561676
14,6404017
15,2096065
16,6512380
17,4802707
18,6661388
19,6602983
20,6721960
21,6711142
22,6400796
23,6524068
24,6683046
25,3319864
26,648824
27,5987999
28,6499591
29,6549340
30,6616865
31,6559029
32,4403651
33,5013055
34,6321180
35,1404637
36,5636203
37,6609764
38,2573298
39,6647312
40,6644625
41,6273253
42,6306852
43,5600659
44,6565536
45,6525540
46,6671067
47,6571900
48,6137797
49,6671722
50,6603336
51,6607495
52,6721842
53,6671724
54,3782990
55,6218799
56,6473263
57,63073
58,3338000
59,6516343
60,357495
61,6392195
62,5727811
63,5170987
64,3437800
65,6703530
66,6577848
67,6513553
68,6589381
69,6410657
70,6626279
71,354080
72,6663292
73,6723169
74,1600908
75,6564472
76,4373349
77,6607407
78,6532355
79,6568712
80,6225460
81,6523055
82,6391879
83,6039741
84,56306
85,6574348
86,6580918
87,1159330
88,5170914
89,6199192
90,6581716
91,6612781
92,6570467
93,6400182
94,6315198
95,53998
96,4681124
97,6543145
98,6475971
99,6234407
100,6466460
101,6575231
102,5474606
103,5571169
104,6558527
105,6444092
106,5737342
107,6392519
108,1602560
109,6267269
110,79855
111,6572311
112,1023758
113,346645
114,4864428
115,5883494
116,2204117
117,5845584
118,6557174
119,6168764
120,6407973
121,6534985
122,6698760
123,6301362
124,6186691
125,6608387
126,6402323
127,706870
128,6480355
129,6609454
130,6697968
131,6543078
132,6518046
133,6288330
134,567378
135,6187719
136,6135987
137,4279755
138,6536654
139,5567373
140,6459137
141,6609243
142,6195026
143,6552861
144,6643578
145,683323
146,6487087
147,3708985
148,5471697
149,3005218
150,994113
