,0
0,"[[2, 2216], [4, 2155], [9, 104], [10, 709], [10, 2311], [20, 1563], [24, 2303], [27, 330], [36, 2808], [41, 1820], [43, 675], [44, 1676], [57, 2910], [58, 507], [58, 2743], [70, 2943], [75, 2921], [77, 1194], [84, 1544], [88, 2207], [92, 2194], [97, 1072], [97, 1340], [97, 2578], [97, 2667], [97, 3527], [98, 2633], [98, 2940], [99, 2213], [99, 2424], [99, 2506], [99, 3143], [100, 2489], [102, 432], [102, 903], [102, 3003], [103, 2428], [107, 131], [107, 1835], [113, 553], [113, 868], [113, 2351], [113, 3610], [117, 1289], [117, 3478], [122, 2968], [126, 598], [126, 872], [126, 975], [126, 1884], [126, 3539], [129, 1005], [129, 2093], [129, 3573], [131, 1835], [131, 3174], [135, 857], [135, 1597], [153, 211], [153, 1370], [153, 1476], [157, 2748], [160, 1059], [160, 3567], [161, 2991], [166, 2675], [179, 307], [179, 1479], [179, 3267], [179, 3448], [182, 1178], [183, 189], [188, 1366], [188, 3348], [189, 810], [189, 3333], [191, 289], [197, 2786], [202, 1681], [202, 1985], [202, 2588], [202, 3598], [203, 2547], [210, 979], [210, 1072], [210, 3527], [214, 491], [214, 1927], [215, 2912], [216, 2068], [216, 3088], [218, 1484], [220, 1100], [221, 724], [222, 836], [224, 3349], [229, 1363], [229, 1985], [229, 3542], [234, 1255], [252, 2545], [256, 1751], [261, 3434], [266, 1606], [272, 1124], [273, 1190], [274, 2823], [286, 1835], [287, 907], [289, 2754], [307, 1479], [307, 3448], [307, 3508], [312, 2648], [312, 2776], [319, 1424], [319, 2704], [319, 2839], [319, 3220], [322, 1799], [322, 3368], [326, 1864], [337, 342], [337, 1906], [337, 2520], [341, 510], [342, 1906], [348, 593], [355, 2985], [355, 3429], [356, 455], [361, 1448], [362, 3369], [366, 3026], [368, 3157], [376, 1167], [379, 3395], [383, 903], [387, 1550], [388, 2543], [391, 1170], [393, 1793], [398, 975], [398, 1249], [404, 1621], [424, 2364], [433, 1297], [433, 2738], [433, 2817], [440, 2314], [442, 3040], [446, 2364], [447, 896], [449, 1626], [454, 1101], [454, 2703], [456, 2770], [466, 806], [466, 2504], [473, 1329], [475, 2738], [481, 1447], [481, 2012], [481, 3515], [491, 1927], [494, 1676], [495, 3369], [506, 574], [510, 3055], [516, 1070], [517, 2339], [517, 3034], [529, 2170], [533, 1810], [535, 1212], [535, 1707], [538, 863], [542, 1325], [543, 2213], [543, 2995], [553, 2351], [559, 1209], [559, 2031], [585, 2633], [593, 1367], [593, 2786], [598, 1884], [598, 3539], [606, 1922], [611, 2413], [621, 2254], [642, 748], [643, 2900], [648, 1640], [648, 2232], [648, 2583], [655, 2231], [668, 1206], [670, 3338], [676, 3048], [681, 2738], [685, 900], [685, 1556], [685, 1841], [694, 1433], [702, 706], [702, 806], [702, 1651], [706, 1651], [710, 1875], [713, 1885], [715, 735], [715, 982], [715, 1185], [715, 3557], [717, 3396], [718, 3478], [720, 1847], [730, 2286], [735, 982], [735, 3557], [746, 1064], [746, 1499], [746, 1982], [746, 3557], [753, 2639], [756, 1192], [758, 2230], [759, 794], [762, 2177], [762, 2372], [762, 3519], [765, 3048], [772, 3329], [781, 1437], [783, 1870], [785, 1640], [785, 2232], [801, 865], [806, 2371], [806, 2379], [809, 1480], [809, 2707], [811, 1964], [811, 3454], [817, 3425], [819, 3135], [820, 1411], [820, 1993], [823, 1383], [823, 2830], [828, 3016], [835, 1902], [843, 1525], [850, 2344], [851, 910], [859, 1106], [862, 1404], [862, 3383], [863, 3148], [863, 3396], [867, 1109], [868, 2351], [888, 1219], [890, 1894], [892, 2069], [892, 2838], [896, 1016], [896, 1232], [896, 3004], [901, 1886], [904, 3161], [920, 3419], [933, 976], [941, 2491], [956, 1214], [956, 3014], [962, 1675], [962, 2704], [967, 2033], [975, 1249], [975, 3539], [979, 1288], [981, 3349], [982, 1957], [982, 3557], [983, 1825], [984, 3277], [987, 2499], [993, 2060], [993, 3050], [1001, 1144], [1005, 3573], [1006, 1302], [1016, 2748], [1016, 3004], [1017, 1269], [1019, 1849], [1023, 2167], [1028, 2364], [1035, 1088], [1035, 2511], [1051, 3141], [1051, 3385], [1052, 1294], [1052, 2096], [1052, 2364], [1052, 2694], [1056, 2397], [1064, 1982], [1064, 3557], [1072, 3221], [1072, 3527], [1074, 2298], [1074, 2639], [1074, 2665], [1074, 3398], [1088, 1206], [1088, 1903], [1088, 2511], [1108, 1236], [1113, 1925], [1123, 1762], [1133, 2988], [1134, 3332], [1146, 2320], [1150, 1649], [1150, 3398], [1162, 1775], [1162, 2898], [1164, 2117], [1164, 2704], [1192, 2904], [1194, 1538], [1200, 2757], [1201, 3318], [1202, 3276], [1203, 2155], [1203, 2312], [1203, 3399], [1204, 1526], [1204, 1618], [1206, 1393], [1206, 2190], [1208, 2271], [1209, 2120], [1211, 1521], [1211, 1606], [1212, 1707], [1214, 1570], [1214, 3014], [1214, 3167], [1233, 2601], [1240, 3332], [1248, 2151], [1253, 1575], [1259, 2526], [1264, 1690], [1272, 2233], [1274, 3349], [1279, 3001], [1279, 3224], [1286, 2284], [1286, 2922], [1286, 3490], [1293, 3570], [1294, 2364], [1297, 1500], [1297, 1501], [1297, 2885], [1300, 2903], [1305, 1776], [1305, 3139], [1312, 1860], [1324, 1905], [1324, 2728], [1332, 3570], [1343, 2599], [1345, 2276], [1345, 3435], [1351, 1863], [1357, 2460], [1363, 1529], [1363, 1681], [1366, 3348], [1367, 2786], [1374, 2838], [1390, 2053], [1393, 1836], [1404, 3383], [1418, 2802], [1425, 2193], [1427, 2345], [1443, 2687], [1448, 2766], [1452, 3532], [1457, 2275], [1457, 2296], [1465, 1844], [1471, 3325], [1479, 1695], [1479, 2544], [1479, 3448], [1483, 2903], [1487, 2852], [1501, 2885], [1514, 2220], [1515, 1805], [1520, 2685], [1521, 2947], [1526, 2028], [1529, 1681], [1535, 3480], [1544, 2259], [1559, 2290], [1570, 3014], [1570, 3167], [1573, 1651], [1575, 2039], [1581, 3250], [1586, 3056], [1588, 3586], [1592, 3332], [1592, 3594], [1594, 2443], [1606, 2947], [1613, 1798], [1625, 3157], [1626, 2332], [1640, 2232], [1651, 2757], [1651, 2817], [1651, 3076], [1656, 2105], [1661, 3543], [1673, 1872], [1681, 1985], [1681, 2588], [1681, 3598], [1691, 2538], [1707, 2493], [1707, 2794], [1710, 1861], [1720, 3250], [1745, 1938], [1760, 3034], [1763, 1829], [1764, 1963], [1768, 3613], [1778, 2152], [1778, 2655], [1792, 3435], [1799, 3368], [1803, 2242], [1805, 1937], [1805, 3163], [1818, 2176], [1820, 2050], [1820, 2432], [1827, 1968], [1827, 3393], [1829, 2733], [1847, 3584], [1875, 2024], [1877, 2410], [1882, 3329], [1884, 3539], [1885, 2469], [1893, 3612], [1894, 3453], [1896, 3561], [1901, 3533], [1902, 3047], [1905, 2728], [1906, 2520], [1906, 2754], [1908, 2195], [1909, 2811], [1911, 2668], [1925, 3489], [1927, 3487], [1931, 3251], [1937, 3163], [1948, 2517], [1968, 3393], [1971, 2475], [1975, 2428], [1982, 3557], [1985, 2588], [1985, 3542], [1985, 3598], [1986, 3215], [1988, 2689], [1992, 3147], [1994, 3310], [2008, 2496], [2012, 3515], [2029, 2544], [2030, 2136], [2030, 2486], [2030, 3384], [2033, 2533], [2036, 2494], [2050, 2549], [2069, 2838], [2069, 3594], [2070, 2642], [2078, 3226], [2088, 2639], [2088, 2704], [2096, 2194], [2096, 2364], [2096, 2694], [2121, 3284], [2134, 3564], [2136, 2486], [2136, 3384], [2152, 2655], [2152, 2710], [2153, 3396], [2153, 3567], [2155, 2776], [2169, 3403], [2176, 2332], [2179, 2353], [2179, 2624], [2179, 3047], [2194, 2694], [2195, 2656], [2198, 2950], [2213, 2690], [2213, 2995], [2225, 2820], [2233, 2899], [2246, 3478], [2261, 2690], [2263, 3257], [2275, 2296], [2284, 2824], [2284, 3490], [2286, 2986], [2287, 2668], [2290, 2445], [2298, 2665], [2298, 3398], [2305, 2525], [2312, 3399], [2319, 2903], [2335, 2600], [2342, 2968], [2346, 2800], [2346, 3001], [2349, 3415], [2360, 3089], [2364, 2694], [2374, 3227], [2386, 2880], [2386, 3111], [2386, 3268], [2397, 3527], [2401, 2950], [2410, 3240], [2413, 3530], [2424, 2506], [2424, 3263], [2426, 3424], [2427, 2811], [2432, 2568], [2435, 2766], [2443, 3173], [2475, 2830], [2505, 3344], [2538, 2968], [2545, 2979], [2547, 2885], [2552, 2698], [2555, 2628], [2576, 3118], [2588, 3338], [2588, 3598], [2612, 3220], [2639, 2665], [2648, 2776], [2650, 3174], [2650, 3589], [2668, 3543], [2690, 2800], [2704, 3068], [2721, 3411], [2759, 2939], [2766, 3271], [2776, 3329], [2800, 3001], [2824, 3490], [2830, 3439], [2839, 3220], [2853, 3591], [2880, 3268], [2884, 2929], [2937, 2947], [2993, 3138], [2993, 3403], [3015, 3470], [3026, 3141], [3049, 3462], [3050, 3539], [3072, 3159], [3088, 3284], [3111, 3268], [3164, 3455], [3233, 3338], [3262, 3372], [3262, 3506], [3262, 3558], [3372, 3558], [3419, 3515], [3542, 3598]]"
1,"[[20, 1563], [157, 2748], [166, 2675], [197, 593], [197, 1367], [197, 2786], [224, 3349], [236, 441], [253, 3298], [261, 3434], [311, 1064], [404, 1289], [432, 1109], [453, 3176], [495, 3369], [527, 2275], [598, 3539], [617, 1966], [637, 2650], [676, 3048], [694, 1433], [713, 1885], [715, 735], [715, 982], [715, 3557], [722, 3383], [735, 982], [735, 3557], [755, 2650], [763, 1481], [933, 976], [956, 1214], [1072, 3527], [1104, 3487], [1240, 2551], [1240, 3332], [1294, 2096], [1374, 1852], [1521, 2947], [1588, 3586], [1661, 3543], [1738, 2627], [1766, 1959], [2036, 2494], [2335, 2600], [2397, 3527], [2476, 3487], [2512, 2624]]"
2,"[[94, 1192], [123, 1028], [126, 1884], [135, 857], [164, 1625], [331, 2946], [355, 3429], [398, 1249], [442, 3040], [492, 826], [702, 706], [715, 735], [746, 1499], [811, 3454], [823, 1383], [975, 1249], [1072, 3527], [1074, 3000], [1134, 3332], [1214, 3167], [1351, 1863], [1443, 2786], [1849, 2324], [1931, 3251], [1985, 2873], [2134, 3564], [2195, 2656], [2401, 2950], [2704, 3068], [2721, 3368]]"
3,"[[72, 2807], [157, 2748], [256, 1751], [322, 3368], [408, 2786], [453, 3176], [462, 763], [580, 1129], [585, 2633], [663, 2840], [715, 735], [746, 1499], [826, 2269], [837, 3347], [1072, 3527], [1146, 2621], [1348, 2968], [1374, 1852], [1449, 2441], [1452, 3532], [1483, 2319], [2119, 3555], [2134, 3564], [2516, 3296], [2873, 3542]]"
