,0
0,"[[2, 1862], [110, 514], [110, 830], [110, 2972], [113, 3003], [137, 2306], [175, 2170], [280, 1513], [280, 2831], [301, 509], [347, 830], [398, 2326], [514, 2972], [556, 1874], [591, 1208], [598, 602], [609, 1581], [611, 629], [629, 836], [629, 2989], [640, 1262], [640, 1661], [703, 1167], [707, 2537], [830, 1057], [836, 2989], [856, 3003], [904, 1661], [912, 2963], [913, 1925], [962, 2802], [1044, 2181], [1105, 1495], [1141, 1564], [1219, 2322], [1246, 1430], [1300, 1896], [1344, 2047], [1384, 1875], [1513, 2831], [1530, 1719], [1535, 1651], [1573, 1696], [1661, 2989], [1686, 2954], [1757, 2260], [1789, 2995], [1791, 2082], [1846, 2229], [1868, 2370], [1917, 2934], [1979, 2599], [1999, 2749], [2019, 2728], [2214, 2237], [2721, 2807]]"
1,"[[137, 2306], [171, 1155], [395, 2673], [591, 1208], [629, 836], [629, 2989], [912, 2963], [1957, 2180]]"
2,"[[347, 1057], [598, 602], [640, 1262], [703, 1167], [830, 1057], [912, 2963], [913, 2524], [1141, 1564], [1620, 2734], [1789, 2995], [1846, 2229]]"
3,"[[611, 629], [912, 2963]]"
