,0
0,"[[91, 2463], [136, 2472], [141, 1481], [203, 2746], [322, 2018], [364, 2371], [376, 884], [414, 699], [439, 668], [456, 622], [550, 1877], [552, 1426], [673, 1706], [848, 2836], [953, 1744], [1373, 2275], [1426, 1934], [1426, 2495], [1439, 2434], [1507, 2043], [1538, 2503], [1604, 1806], [1627, 1701], [1714, 2245], [1776, 2275], [2780, 2796]]"
1,"[[91, 2463], [141, 1481], [376, 884], [408, 438], [456, 622], [673, 1706], [673, 1760], [778, 2772], [1031, 1647], [1067, 2836], [1360, 2472], [1373, 2275], [1538, 2503], [1542, 2472], [1627, 1701], [1627, 2772], [1776, 2275], [2780, 2796]]"
2,"[[14, 2540], [136, 1360], [953, 2652], [1439, 2434], [1744, 2652]]"
3,[]
