,0
0,"[[14, 2540], [51, 1121], [76, 277], [91, 2463], [136, 2472], [141, 1481], [203, 2746], [286, 1011], [322, 2018], [364, 2371], [376, 884], [414, 699], [439, 668], [456, 622], [550, 1877], [552, 1426], [600, 1655], [673, 1706], [673, 1744], [700, 2569], [813, 1459], [848, 2836], [931, 1656], [953, 1744], [1067, 2836], [1302, 2341], [1373, 2275], [1426, 1612], [1426, 1934], [1426, 2495], [1439, 2434], [1507, 2043], [1538, 2503], [1572, 2223], [1604, 1806], [1625, 1889], [1627, 1701], [1706, 1744], [1714, 2245], [1776, 2275], [2298, 2662], [2440, 2898], [2780, 2796]]"
1,"[[91, 2463], [141, 1481], [376, 884], [392, 1426], [408, 438], [456, 622], [673, 1706], [673, 1744], [673, 1760], [778, 2772], [1031, 1647], [1067, 2836], [1360, 2472], [1373, 2275], [1538, 2503], [1542, 2472], [1627, 1701], [1627, 2772], [1776, 2275], [2780, 2796]]"
2,"[[14, 2540], [136, 1360], [953, 2652], [1439, 2434], [1507, 2043], [1744, 2652]]"
3,"[[2780, 2796]]"
