,0
0,"[[2, 2043], [13, 2408], [19, 1432], [25, 308], [35, 3072], [53, 395], [53, 473], [77, 1416], [82, 3065], [89, 2452], [91, 2231], [91, 2301], [98, 120], [98, 1684], [115, 555], [115, 808], [115, 902], [115, 3247], [118, 930], [118, 1738], [118, 3279], [120, 836], [145, 2528], [175, 3062], [183, 2563], [187, 1821], [187, 2377], [187, 3301], [195, 2395], [201, 1900], [212, 283], [234, 2339], [269, 1922], [286, 1359], [286, 3167], [290, 1984], [300, 1650], [300, 3094], [304, 1711], [317, 476], [324, 550], [331, 2749], [331, 3148], [357, 836], [362, 2337], [372, 902], [372, 1150], [377, 981], [407, 2591], [416, 2796], [428, 2549], [444, 2519], [461, 1540], [482, 2153], [482, 2791], [499, 1119], [502, 799], [555, 3247], [574, 2078], [583, 810], [603, 2057], [617, 3066], [639, 1316], [647, 651], [658, 1730], [660, 679], [660, 908], [660, 3264], [679, 908], [679, 3264], [690, 983], [690, 1377], [690, 1819], [702, 2056], [706, 832], [714, 1540], [722, 1319], [724, 1716], [745, 2183], [750, 1804], [750, 3173], [759, 1829], [762, 1270], [767, 2776], [774, 1747], [796, 1021], [799, 2894], [822, 1124], [829, 940], [829, 2764], [837, 2906], [851, 2240], [861, 903], [894, 1867], [902, 1150], [902, 3247], [908, 3264], [919, 2805], [930, 1091], [930, 3279], [940, 2528], [940, 2764], [943, 1696], [972, 1191], [972, 1927], [981, 1123], [983, 1819], [991, 3237], [993, 1969], [993, 2114], [993, 2450], [993, 3122], [1047, 3061], [1075, 1948], [1075, 2078], [1075, 2488], [1075, 2830], [1110, 1984], [1113, 1279], [1113, 2019], [1117, 3201], [1121, 1439], [1124, 1967], [1136, 2390], [1142, 3061], [1149, 1980], [1154, 1873], [1172, 3077], [1193, 1378], [1193, 1379], [1193, 2657], [1195, 3095], [1201, 1631], [1206, 1766], [1234, 2388], [1242, 1710], [1328, 2545], [1328, 3005], [1359, 1556], [1359, 3167], [1379, 2657], [1391, 1590], [1402, 1862], [1416, 2082], [1444, 1873], [1463, 2246], [1474, 2716], [1506, 2058], [1517, 2591], [1540, 1603], [1543, 1821], [1590, 2486], [1650, 3094], [1670, 1884], [1677, 1808], [1721, 1858], [1727, 2789], [1768, 3203], [1780, 2561], [1800, 2587], [1819, 3264], [1821, 2377], [1821, 3301], [1847, 3227], [1863, 2338], [1864, 1965], [1870, 2289], [1919, 2425], [1919, 2450], [1924, 2859], [1927, 2478], [1963, 3271], [1965, 2282], [1982, 3120], [1984, 2554], [2008, 2412], [2024, 2442], [2051, 2594], [2098, 2113], [2105, 2598], [2105, 2609], [2105, 3206], [2108, 2453], [2111, 2248], [2114, 2450], [2114, 3122], [2158, 2186], [2173, 2842], [2186, 2966], [2197, 3004], [2217, 2979], [2240, 2545], [2279, 3061], [2300, 3072], [2339, 2743], [2377, 3301], [2425, 2450], [2450, 3122], [2478, 2802], [2488, 2822], [2488, 2960], [2504, 2987], [2545, 3005], [2656, 2698], [2723, 3066], [2755, 2884], [2841, 3015], [2972, 3066]]"
1,"[[19, 1432], [145, 2528], [183, 1256], [183, 2563], [412, 1796], [425, 2920], [639, 1316], [660, 908], [660, 3264], [679, 908], [679, 3264], [699, 2436], [991, 3237], [1142, 3061], [1263, 1699], [1870, 2289], [2149, 2389]]"
2,"[[86, 1100], [115, 1729], [331, 3148], [372, 1150], [416, 2796], [647, 651], [690, 1377], [750, 3173], [762, 1270], [902, 1150], [991, 3237], [993, 2761], [1242, 1710], [1772, 2989], [1963, 3271], [2024, 2442], [2488, 2822]]"
3,"[[610, 2614], [660, 679], [991, 3237], [1263, 1699]]"
